indid hapid habitat Form Site
ind0_h2 h2 deciduous_forest S Nsawan
ind1_h2 h2 deciduous_forest M Nsawan
ind2_h2 h2 deciduous_forest M Nsawan
ind3_h2 h2 deciduous_forest M Nsawan
ind4_h2 h2 deciduous_forest M Nsawan
ind5_h2 h2 deciduous_forest S Nsawan
ind6_h2 h2 rainforest S Nkwanta
ind7_h2 h2 rainforest S Nkwanta
ind8_h2 h2 rainforest S Nkwanta
ind9_h2 h2 coastal_savannah M Mankessim
ind10_h2 h2 coastal_savannah M Mankessim
ind11_h2 h2 coastal_savannah M Mankessim
ind12_h2 h2 rainforest S Nkwanta
ind13_h2 h2 coastal_savannah M Mankessim
ind14_h2 h2 coastal_savannah M Mankessim
ind15_h2 h2 coastal_savannah M Mankessim
ind16_h2 h2 coastal_savannah M Mamprobi
ind17_h2 h2 rainforest S Nkwanta
ind18_h2 h2 coastal_savannah M Mamprobi
ind19_h2 h2 coastal_savannah M Mamprobi
ind20_h2 h2 coastal_savannah M Mamprobi
ind21_h2 h2 deciduous_forest S Koforidua
ind22_h2 h2 deciduous_forest S Koforidua
ind23_h2 h2 deciduous_forest S Koforidua
ind24_h2 h2 coastal_savannah S Madina
ind25_h2 h2 rainforest M Enchi
ind26_h2 h2 coastal_savannah S Madina
ind27_h2 h2 deciduous_forest M New-Edubiase
ind28_h2 h2 coastal_savannah S Madina
ind29_h2 h2 coastal_savannah S Madina
ind30_h2 h2 deciduous_forest S Nsawan
ind31_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind32_h2 h2 coastal_savannah S Madina
ind33_h2 h2 coastal_savannah S Madina
ind34_h2 h2 coastal_savannah S Madina
ind35_h2 h2 deciduous_forest S Bantama-Kumasi
ind36_h2 h2 deciduous_forest S Asikumah
ind37_h2 h2 rainforest M "Wassa Essaman"
ind38_h2 h2 deciduous_forest M Anhiankwanta
ind39_h2 h2 coastal_savannah M Mankessim
ind40_h2 h2 deciduous_forest S Bantama-Kumasi
ind41_h2 h2 coastal_savannah S Madina
ind42_h2 h2 deciduous_forest S "Agona Dunkwa"
ind43_h2 h2 rainforest M Axim
ind44_h2 h2 deciduous_forest S Nsawan
ind45_h2 h2 coastal_savannah M Tuba
ind46_h2 h2 rainforest S "Wassa Essaman"
ind47_h2 h2 deciduous_forest S Suhum
ind48_h2 h2 rainforest M "Twifo Praso"
ind49_h2 h2 rainforest M "Wassa Essaman"
ind50_h2 h2 rainforest M Tarkwa
ind51_h2 h2 rainforest M "Twifo Praso"
ind52_h2 h2 rainforest M Asankrangwa
ind53_h2 h2 rainforest M "Twifo Praso"
ind54_h2 h2 rainforest M Bogoso
ind55_h2 h2 coastal_savannah M Tuba
ind56_h2 h2 coastal_savannah M Tuba
ind57_h2 h2 deciduous_forest S Bantama-Kumasi
ind58_h2 h2 coastal_savannah S Tuba
ind59_h2 h2 deciduous_forest S "Agona Dunkwa"
ind60_h2 h2 mangrove_swamp M Komenda
ind61_h2 h2 coastal_savannah M Mamprobi
ind62_h2 h2 mangrove_swamp M "Ada Foah"
ind63_h2 h2 coastal_savannah M Tuba
ind64_h2 h2 coastal_savannah M Tuba
ind65_h2 h2 deciduous_forest M "Assin Foso"
ind66_h2 h2 deciduous_forest S Nsawan
ind67_h2 h2 deciduous_forest S New-Edubiase
ind68_h2 h2 coastal_savannah M Takoradi
ind69_h2 h2 deciduous_forest S New-Edubiase
ind70_h2 h2 rainforest S Nkwanta
ind71_h2 h2 deciduous_forest S New-Edubiase
ind72_h2 h2 rainforest S Nkwanta
ind73_h2 h2 rainforest M Enchi
ind74_h2 h2 mangrove_swamp M "Ada Foah"
ind75_h2 h2 coastal_savannah S Dzorwulu
ind76_h2 h2 coastal_savannah M Takoradi
ind77_h2 h2 deciduous_forest M Nsawan
ind78_h2 h2 rainforest S Bogoso
ind79_h2 h2 rainforest M "Twifo Praso"
ind80_h2 h2 deciduous_forest S New-Edubiase
ind81_h2 h2 coastal_savannah S Half-Assini
ind82_h2 h2 deciduous_forest S New-Edubiase
ind83_h2 h2 deciduous_forest M New-Edubiase
ind84_h2 h2 coastal_savannah M Takoradi
