Node label	Matching Sequences
DW-AdF10_h1	DW-AdF10_h1
	DW-AdF11_h1
	DW-AdF17_h1
	DW-AdF19_h2
	DW-AdF1_h1
	DW-AdF3_h1
	DW-AdF3_h2
	DW-Anl17_h1
	DW-Ash26_h1
	DW-Ash6_h2
	DW-Ash8_h2
	DW-Ash9_h1
	DW-Mam4_h1
	DW-Mam6_h1
26-DW-Tub2_h1	26-DW-Tub2_h1
	DW-Ash6_h1
	DW-Dzo3_h1
	DW-Dzo8_h2
	DW-Mam10_h2
DW-Ash26_h2	DW-Ash26_h2
	DW-Mam16_h1
DW-Axi1_h2	DW-Axi1_h2
	DW-Enc19_h1
134-DW-NeA-66_h1	134-DW-NeA-66_h1
	134-DW-NeA-66_h2
	173-DW-NeA-11_h2
	44-DW-TP7_h1
	66-DW-Mad50_h2
	74-DW-Mad59_h1
	DW-Aka22_h2
	DW-Dod9_h1
	DW-Enc17_h2
	DW-HA6_h2
	DW-HA9_h1
10-DW-Tar5_h1	10-DW-Tar5_h1
	135-DW-NeA-79_h1
	174-DW-NeA-12_h2
	37-DW-Tub14_h2
	92-DW-Kom3_h1
	DW-Mam9_h2
145-DW-NeA-54_h1	145-DW-NeA-54_h1
	DW-Aka15_h2
65-DW-Mad49_h1	65-DW-Mad49_h1
	DW-Asi2_h1
	DW-HA5_h2
	DW-HA7_h2
30-DW-Tub6_h2	30-DW-Tub6_h2
	36-DW-Tub12_h2
	DW-Asi3_h2
146-DW-NeA-55_h2	146-DW-NeA-55_h2
	53-DW-WE6_h1
	54-DW-WE7_h1
	DW-AF5_h1
	DW-Dzo14_h1
	DW-Mam16_h2
DW-Bog6_h2	DW-Bog6_h2
	DW-Kof23_h1
187-DW-NeA-18_h2	187-DW-NeA-18_h2
	DW-Asi3_h1
	DW-Enc18_h2
100-DW-OBP1-4_h1	100-DW-OBP1-4_h1
	101-DW-OBP1-5_h1
	101-DW-OBP1-5_h2
	102-DW-OBP1-6_h1
	102-DW-OBP1-6_h2
	105-DW-OBP1-9_h1
	106-DW-OBP1-10_h1
	106-DW-OBP1-10_h2
	107-DW-OBP1-12_h1
	108-DW-OBP1-13_h1
	110-DW-OBP1-16_h1
	110-DW-OBP1-16_h2
	112-DW-OBP1-18_h2
	113-DW-OBP1-19_h1
	113-DW-OBP1-19_h2
	114-DW-OBP1-20_h1
	114-DW-OBP1-20_h2
	116-DW-AnB-1_h1
	119-DW-AnB-4_h1
	127-DW-AnB-12_h1
	131-DW-AnB-16_h1
	141-DW-NeA-50_h2
	142-DW-NeA-51_h2
	182-DW-NeA-6_h1
	183-DW-NeA-9_h1
	2-DW-Suh5_h2
	35-DW-Tub11_h2
	36-DW-Tub12_h1
	3-DW-Suh7_h2
	40-DW-Tub17_h2
	49-DW-WE1_h2
	4-DW-Suh11_h1
	55-DW-WE8_h2
	68-DW-Mad53_h2
	69-DW-Mad54_h1
	6-DW-Suh18_h1
	70-DW-Mad55_h1
	70-DW-Mad55_h2
	71-DW-Mad56_h1
	74-DW-Mad59_h2
	76-DW-Mad61_h2
	78-DW-Mad63_h1
	78-DW-Mad63_h2
	97-DW-OBP1-1_h2
	98-DW-OBP1-2_h2
	99-DW-OBP1-3_h1
	99-DW-OBP1-3_h2
	DW-AF23_h2
	DW-AF2_h2
	DW-AF3_h2
	DW-AF4_h1
	DW-AgD37_h1
	DW-Aka15_h1
	DW-Asi9_h2
	DW-Bog15_h1
	DW-Dod11_h1
	DW-Dod16_h1
	DW-Dod16_h2
	DW-Dod18_h1
	DW-Dod8_h1
	DW-Dzo15_h2
	DW-Dzo9_h1
	DW-Enc10_h2
	DW-Enc14_h1
	DW-Enc4_h1
	DW-Nkw5_h1
	DW-Nkw6_h1
	DW-Nkw8_h2
	DW-Nsa2_h2
	DW-Nsa4_h1
	DW-Nsa6_h1
	DW-Nsa9_h1
109-DW-OBP1-14_h1	109-DW-OBP1-14_h1
	112-DW-OBP1-18_h1
	131-DW-AnB-16_h2
	140-DW-NeA-49_h2
	141-DW-NeA-50_h1
	143-DW-NeA-52_h1
	146-DW-NeA-55_h1
	147-DW-NeA-57_h1
	147-DW-NeA-57_h2
	180-DW-NeA-4_h2
	181-DW-NeA-5_h1
	188-DW-NeA-19_h1
	188-DW-NeA-19_h2
	30-DW-Tub6_h1
	3-DW-Suh7_h1
	55-DW-WE8_h1
