bam_key	seq_key
DW-AdF1	AdF1
DW-AdF10	AdF10
DW-AdF11	AdF11
DW-AdF17	AdF17
DW-AdF18	AdF18
DW-AdF19	AdF19
DW-AdF3	AdF3
DW-AdF7	AdF7
DW-AF11	AF11
DW-AF17	AF17
DW-AF19	AF19
DW-AF2	AF2
DW-AF21	AF21
DW-AF22	AF22
DW-AF23	AF23
DW-AF24	AF24
DW-AF26	AF26
DW-AF3	AF3
DW-AF4	AF4
DW-AF5	AF5
DW-AF6	AF6
DW-AF7	AF7
DW-AF8	AF8
DW-AF9	AF9
DW-AgD28	AgD28
DW-AgD3	AgD3
DW-AgD30	AgD30
DW-AgD34	AgD34
DW-AgD37	AgD37
DW-AgD4	AgD4
DW-AgD5	AgD5
DW-AgD6	AgD6
DW-Aka10	Aka10
DW-Aka15	Aka15
DW-Aka17	Aka17
DW-Aka18	Aka18
DW-Aka20	Aka20
DW-Aka21	Aka21
DW-Aka22	Aka22
DW-Aka23	Aka23
116-DW-AnB-1	AnB.1
125-DW-AnB-10	AnB.10
126-DW-AnB-11	AnB.11
127-DW-AnB-12	AnB.12
128-DW-AnB-13	AnB.13
129-DW-AnB-14	AnB.14
130-DW-AnB-15	AnB.15
131-DW-AnB-16	AnB.16
117-DW-AnB-2	AnB.2
118-DW-AnB-3	AnB.3
119-DW-AnB-4	AnB.4
148-DW-AnB-49	AnB.49
120-DW-AnB-5	AnB.5
149-DW-AnB-50	AnB.50
150-DW-AnB-51	AnB.51
151-DW-AnB-53	AnB.53
152-DW-AnB-54	AnB.54
153-DW-AnB-55	AnB.55
154-DW-AnB-56	AnB.56
155-DW-AnB-57	AnB.57
121-DW-AnB-6	AnB.6
122-DW-AnB-7	AnB.7
123-DW-AnB-8	AnB.8
124-DW-AnB-9	AnB.9
DW-Anl1	Anl1
DW-Anl11	Anl11
DW-Anl14	Anl14
DW-Anl15	Anl15
DW-Anl17	Anl17
DW-Anl3	Anl3
DW-Anl6	Anl6
DW-Anl9	Anl9
DW-Asa10	Asa10
DW-Asa11	Asa11
DW-Asa12	Asa12
DW-Asa14	Asa14
DW-Asa5	Asa5
DW-Asa6	Asa6
DW-Asa7	Asa7
DW-Asa9	Asa9
DW-Ash12	Ash12
DW-Ash13	Ash13
DW-Ash17	Ash17
DW-Ash21	Ash21
DW-Ash26	Ash26
DW-Ash6	Ash6
DW-Ash8	Ash8
DW-Ash9	Ash9
DW-Asi11	Asi11
DW-Asi13	Asi13
DW-Asi2	Asi2
DW-Asi3	Asi3
DW-Asi4	Asi4
DW-Asi5	Asi5
DW-Asi7	Asi7
DW-Asi9	Asi9
DW-Axi1	Axi1
DW-Axi13	Axi13
DW-Axi14	Axi14
DW-Axi15	Axi15
DW-Axi16	Axi16
DW-Axi2	Axi2
DW-Axi3	Axi3
DW-Axi4	Axi4
288-BLANK	BLANK
DW-Bog1	Bog1
DW-Bog10	Bog10
DW-Bog11	Bog11
DW-Bog12	Bog12
DW-Bog13	Bog13
DW-Bog14	Bog14
DW-Bog15	Bog15
DW-Bog16	Bog16
DW-Bog18	Bog18
DW-Bog2	Bog2
DW-Bog23	Bog23
DW-Bog25	Bog25
DW-Bog5	Bog5
DW-Bog6	Bog6
DW-Bog8	Bog8
DW-Bog9	Bog9
DW-Dod11	Dod11
DW-Dod15	Dod15
DW-Dod16	Dod16
DW-Dod18	Dod18
DW-Dod2	Dod2
DW-Dod7	Dod7
DW-Dod8	Dod8
DW-Dod9	Dod9
156-DW-DoM-1	DoM.1
157-DW-DoM-2	DoM.2
158-DW-DoM-3	DoM.3
159-DW-DoM-4	DoM.4
164-DW-DoM-49	DoM.49
160-DW-DoM-5	DoM.5
165-DW-DoM-50	DoM.50
166-DW-DoM-51	DoM.51
167-DW-DoM-52	DoM.52
