ID,Site,habitat,Description,Site class,Agric_eco activity,Insecticide,Lat,long,Form,species,Ace-1,Duplitype,Ace-A,Ace-1B,Fam,Hex,FAM/HEX,,VSGC,kdr_A,kdr_B,NY_Gene
AD1,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,S,An. gambiae,GS,,100,200,624.247,782.783,0.79747133,,FF,222,222,NN
AD2,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GS,,100,200,741.598,875.598,0.846961734,,LF,111,222,NN
AD3,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,S,An. gambiae,GS,,100,200,527.23,490.38,1.075145805,,FF,222,222,NN
AD4,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GS,,100,200,372.222,1275.055,0.291926231,,FF,222,222,NN
AD5,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,S,An. gambiae,GG,,100,100,21.928,1946.35,0.011266216,,FF,222,222,NN
AD6,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,S,An. gambiae,GG,,100,100,35.124,1945.587,0.018053163,,FF,222,222,NN
AD7,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,S,An. gambiae,GS,,100,200,953.832,316.201,3.01653695,,FF,222,222,NN
AD8,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GG,,100,100,26.465,2037.608,0.012988269,,FF,222,222,NN
AD9,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GS,,100,200,776.86,732.571,1.060456939,,FF,222,222,NN
AD10,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GG,,100,100,29.93,1819.92,0.016445778,,LF,111,222,NN
AD11,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GG,,100,100,25.442,1118.191,0.022752821,,FF,222,222,NN
AD12,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GG,,100,100,39.967,1795.815,0.022255633,,FF,222,222,NN
AD13,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GG,,100,100,26.299,1675.808,0.015693325,,FF,222,222,NN
AD14,Abura Dunkwa,deciduous_forest,Roadside,Rural,Gardening,2,5.3430N,1.1787W,M,An. gambiae,GG,,100,100,23.954,1931.785,0.012399931,,LF,111,222,NN
