hap_seq habitat Form
ind0_h1 deciduous_forest S
ind0_h2 deciduous_forest S
ind1_h1 deciduous_forest M
ind1_h2 deciduous_forest M
ind2_h1 deciduous_forest M
ind2_h2 deciduous_forest M
ind3_h1 deciduous_forest M
ind3_h2 deciduous_forest M
ind4_h1 deciduous_forest M
ind4_h2 deciduous_forest M
ind5_h1 deciduous_forest S
ind5_h2 deciduous_forest S
ind6_h1 rainforest S
ind6_h2 rainforest S
ind7_h1 rainforest S
ind7_h2 rainforest S
ind8_h1 rainforest S
ind8_h2 rainforest S
ind9_h1 coastal_savannah M
ind9_h2 coastal_savannah M
ind10_h1 coastal_savannah M
ind10_h2 coastal_savannah M
ind11_h1 coastal_savannah M
ind11_h2 coastal_savannah M
ind12_h1 rainforest S
ind12_h2 rainforest S
ind13_h1 coastal_savannah M
ind13_h2 coastal_savannah M
ind14_h1 coastal_savannah M
ind14_h2 coastal_savannah M
ind15_h1 coastal_savannah M
ind15_h2 coastal_savannah M
ind16_h1 coastal_savannah M
ind16_h2 coastal_savannah M
ind17_h1 rainforest S
ind17_h2 rainforest S
ind18_h1 coastal_savannah M
ind18_h2 coastal_savannah M
ind19_h1 coastal_savannah M
ind19_h2 coastal_savannah M
ind20_h1 coastal_savannah M
ind20_h2 coastal_savannah M
ind21_h1 deciduous_forest S
ind21_h2 deciduous_forest S
ind22_h1 deciduous_forest S
ind22_h2 deciduous_forest S
ind23_h1 deciduous_forest S
ind23_h2 deciduous_forest S
ind24_h1 coastal_savannah S
ind24_h2 coastal_savannah S
ind25_h1 rainforest M
ind25_h2 rainforest M
ind26_h1 coastal_savannah S
ind26_h2 coastal_savannah S
ind27_h1 deciduous_forest M
ind27_h2 deciduous_forest M
ind28_h1 coastal_savannah S
ind28_h2 coastal_savannah S
ind29_h1 coastal_savannah S
ind29_h2 coastal_savannah S
ind30_h1 deciduous_forest S
ind30_h2 deciduous_forest S
ind31_h1 deciduous_forest S
ind31_h2 deciduous_forest S
ind32_h1 coastal_savannah S
ind32_h2 coastal_savannah S
ind33_h1 coastal_savannah S
ind33_h2 coastal_savannah S
ind34_h1 coastal_savannah S
ind34_h2 coastal_savannah S
ind35_h1 deciduous_forest S
ind35_h2 deciduous_forest S
ind36_h1 deciduous_forest S
ind36_h2 deciduous_forest S
ind37_h1 rainforest M
ind37_h2 rainforest M
ind38_h1 deciduous_forest M
ind38_h2 deciduous_forest M
ind39_h1 coastal_savannah M
ind39_h2 coastal_savannah M
ind40_h1 deciduous_forest S
ind40_h2 deciduous_forest S
ind41_h1 coastal_savannah S
ind41_h2 coastal_savannah S
ind42_h1 deciduous_forest S
ind42_h2 deciduous_forest S
ind43_h1 rainforest M
ind43_h2 rainforest M
ind44_h1 deciduous_forest S
ind44_h2 deciduous_forest S
ind45_h1 coastal_savannah M
ind45_h2 coastal_savannah M
ind46_h1 rainforest S
ind46_h2 rainforest S
ind47_h1 deciduous_forest S
ind47_h2 deciduous_forest S
ind48_h1 rainforest M
ind48_h2 rainforest M
ind49_h1 rainforest M
ind49_h2 rainforest M
ind50_h1 rainforest M
ind50_h2 rainforest M
ind51_h1 rainforest M
ind51_h2 rainforest M
ind52_h1 rainforest M
ind52_h2 rainforest M
ind53_h1 rainforest M
ind53_h2 rainforest M
ind54_h1 rainforest M
ind54_h2 rainforest M
ind55_h1 coastal_savannah M
ind55_h2 coastal_savannah M
ind56_h1 coastal_savannah M
ind56_h2 coastal_savannah M
ind57_h1 deciduous_forest S
ind57_h2 deciduous_forest S
ind58_h1 coastal_savannah S
ind58_h2 coastal_savannah S
ind59_h1 deciduous_forest S
ind59_h2 deciduous_forest S
ind60_h1 mangrove_swamp M
ind60_h2 mangrove_swamp M
ind61_h1 coastal_savannah M
ind61_h2 coastal_savannah M
ind62_h1 mangrove_swamp M
ind62_h2 mangrove_swamp M
ind63_h1 coastal_savannah M
ind63_h2 coastal_savannah M
ind64_h1 coastal_savannah M
ind64_h2 coastal_savannah M
ind65_h1 deciduous_forest M
ind65_h2 deciduous_forest M
ind66_h1 deciduous_forest S
ind66_h2 deciduous_forest S
ind67_h1 deciduous_forest S
ind67_h2 deciduous_forest S
ind68_h1 coastal_savannah M
ind68_h2 coastal_savannah M
ind69_h1 deciduous_forest S
ind69_h2 deciduous_forest S
ind70_h1 rainforest S
ind70_h2 rainforest S
ind71_h1 deciduous_forest S
ind71_h2 deciduous_forest S
ind72_h1 rainforest S
ind72_h2 rainforest S
ind73_h1 rainforest M
ind73_h2 rainforest M
ind74_h1 mangrove_swamp M
ind74_h2 mangrove_swamp M
ind75_h1 coastal_savannah S
ind75_h2 coastal_savannah S
ind76_h1 coastal_savannah M
ind76_h2 coastal_savannah M
ind77_h1 deciduous_forest M
ind77_h2 deciduous_forest M
ind78_h1 rainforest S
ind78_h2 rainforest S
ind79_h1 rainforest M
ind79_h2 rainforest M
ind80_h1 deciduous_forest S
ind80_h2 deciduous_forest S
ind81_h1 coastal_savannah S
ind81_h2 coastal_savannah S
ind82_h1 deciduous_forest S
ind82_h2 deciduous_forest S
ind83_h1 deciduous_forest M
ind83_h2 deciduous_forest M
ind84_h1 coastal_savannah M
ind84_h2 coastal_savannah M
ind85_h1 deciduous_forest S
ind85_h2 deciduous_forest S
ind86_h1 rainforest M
ind86_h2 rainforest M
ind87_h1 rainforest S
ind87_h2 rainforest S
ind88_h1 coastal_savannah M
ind88_h2 coastal_savannah M
ind89_h1 mangrove_swamp M
ind89_h2 mangrove_swamp M
ind90_h1 deciduous_forest S
ind90_h2 deciduous_forest S
ind91_h1 mangrove_swamp M
ind91_h2 mangrove_swamp M
ind92_h1 deciduous_forest M
ind92_h2 deciduous_forest M
ind93_h1 deciduous_forest M
ind93_h2 deciduous_forest M
ind94_h1 rainforest M
ind94_h2 rainforest M
ind95_h1 coastal_savannah S
ind95_h2 coastal_savannah S
ind96_h1 deciduous_forest M
ind96_h2 deciduous_forest M
ind97_h1 deciduous_forest S
ind97_h2 deciduous_forest S
ind98_h1 rainforest M
ind98_h2 rainforest M
ind99_h1 rainforest M
ind99_h2 rainforest M
ind100_h1 deciduous_forest M
ind100_h2 deciduous_forest M
ind101_h1 deciduous_forest S
ind101_h2 deciduous_forest S
ind102_h1 coastal_savannah S
ind102_h2 coastal_savannah S
ind103_h1 deciduous_forest S
ind103_h2 deciduous_forest S
ind104_h1 rainforest M
ind104_h2 rainforest M
ind105_h1 deciduous_forest M
ind105_h2 deciduous_forest M
ind106_h1 deciduous_forest S
ind106_h2 deciduous_forest S
ind107_h1 coastal_savannah S
ind107_h2 coastal_savannah S
ind108_h1 deciduous_forest M
ind108_h2 deciduous_forest M
ind109_h1 coastal_savannah S
ind109_h2 coastal_savannah S
ind110_h1 deciduous_forest M
ind110_h2 deciduous_forest M
ind111_h1 deciduous_forest S
ind111_h2 deciduous_forest S
ind112_h1 coastal_savannah M
ind112_h2 coastal_savannah M
ind113_h1 deciduous_forest M
ind113_h2 deciduous_forest M
ind114_h1 deciduous_forest S
ind114_h2 deciduous_forest S
ind115_h1 deciduous_forest S
ind115_h2 deciduous_forest S
ind116_h1 coastal_savannah S
ind116_h2 coastal_savannah S
ind117_h1 deciduous_forest S
ind117_h2 deciduous_forest S
ind118_h1 deciduous_forest M
ind118_h2 deciduous_forest M
ind119_h1 deciduous_forest S
ind119_h2 deciduous_forest S
ind120_h1 deciduous_forest S
ind120_h2 deciduous_forest S
ind121_h1 deciduous_forest S
ind121_h2 deciduous_forest S
ind122_h1 deciduous_forest S
ind122_h2 deciduous_forest S
ind123_h1 rainforest M
ind123_h2 rainforest M
ind124_h1 deciduous_forest M
ind124_h2 deciduous_forest M
ind125_h1 rainforest M
ind125_h2 rainforest M
ind126_h1 coastal_savannah M
ind126_h2 coastal_savannah M
ind127_h1 rainforest M
ind127_h2 rainforest M
ind128_h1 rainforest S
ind128_h2 rainforest S
ind129_h1 coastal_savannah S
ind129_h2 coastal_savannah S
