region	chr	midPos	Nsites
(1,13)(1616,5338)(1000,6000)	AgamP4_X	3500	14	0.006522
(2,14)(2370,6155)(2000,7000)	AgamP4_X	4500	14	0.007131
(4,16)(3586,7935)(3000,8000)	AgamP4_X	5500	14	0.008165
(5,28)(4144,8906)(4000,9000)	AgamP4_X	6500	25	0.007299
(13,35)(5338,9755)(5000,10000)	AgamP4_X	7500	24	0.009416
(14,38)(6155,10495)(6000,11000)	AgamP4_X	8500	26	0.010500
(15,45)(7929,11973)(7000,12000)	AgamP4_X	9500	32	0.010264
(17,48)(8202,12845)(8000,13000)	AgamP4_X	10500	33	0.008932
(29,49)(9111,13312)(9000,14000)	AgamP4_X	11500	22	0.009829
(36,53)(10409,14971)(10000,15000)	AgamP4_X	12500	19	0.013801
(39,59)(11325,15566)(11000,16000)	AgamP4_X	13500	22	0.006797
(46,62)(12631,16944)(12000,17000)	AgamP4_X	14500	18	0.004788
(49,72)(13312,17344)(13000,18000)	AgamP4_X	15500	25	0.005724
(50,76)(14324,18806)(14000,19000)	AgamP4_X	16500	28	0.006214
(54,95)(15096,19927)(15000,20000)	AgamP4_X	17500	43	0.007100
(60,97)(16521,20905)(16000,21000)	AgamP4_X	18500	39	0.007757
(63,100)(17169,21672)(17000,22000)	AgamP4_X	19500	39	0.007763
(73,110)(18125,22845)(18000,23000)	AgamP4_X	20500	39	0.007829
(77,113)(19574,23917)(19000,24000)	AgamP4_X	21500	38	0.008854
(96,114)(20587,24355)(20000,25000)	AgamP4_X	22500	20	0.006191
(98,117)(21441,25875)(21000,26000)	AgamP4_X	23500	21	0.005711
(101,121)(22033,26978)(22000,27000)	AgamP4_X	24500	22	0.007291
(111,136)(23269,27882)(23000,28000)	AgamP4_X	25500	27	0.005811
(114,136)(24355,27882)(24000,29000)	AgamP4_X	26500	24	0.003630
(115,142)(25132,29850)(25000,30000)	AgamP4_X	27500	29	0.003006
(118,161)(26278,30982)(26000,31000)	AgamP4_X	28500	45	0.001990
(122,174)(27107,31822)(27000,32000)	AgamP4_X	29500	54	0.001985
(137,174)(29409,31822)(28000,33000)	AgamP4_X	30500	39	0.001774
(137,175)(29409,33204)(29000,34000)	AgamP4_X	31500	40	0.002151
(143,176)(30049,34013)(30000,35000)	AgamP4_X	32500	35	0.002339
(162,179)(31006,35281)(31000,36000)	AgamP4_X	33500	19	0.005218
