region	chr	midPos	Nsites
(1,11)(1616,5338)(1000,6000)	AgamP4_X	3500	12	0.001836
(2,12)(2370,6155)(2000,7000)	AgamP4_X	4500	12	0.001836
(4,13)(3586,7929)(3000,8000)	AgamP4_X	5500	11	0.004177
(5,26)(4144,8906)(4000,9000)	AgamP4_X	6500	23	0.003697
(11,33)(5338,9755)(5000,10000)	AgamP4_X	7500	24	0.004383
(12,39)(6155,10495)(6000,11000)	AgamP4_X	8500	29	0.004009
(13,45)(7929,11973)(7000,12000)	AgamP4_X	9500	34	0.004623
(14,47)(8202,12809)(8000,13000)	AgamP4_X	10500	35	0.004061
(27,49)(9111,13510)(9000,14000)	AgamP4_X	11500	24	0.004592
(34,53)(10092,14971)(10000,15000)	AgamP4_X	12500	21	0.006900
(40,58)(11325,15566)(11000,16000)	AgamP4_X	13500	20	0.008756
(46,61)(12631,16944)(12000,17000)	AgamP4_X	14500	17	0.008203
(48,72)(13312,17344)(13000,18000)	AgamP4_X	15500	26	0.006634
(50,76)(14324,18806)(14000,19000)	AgamP4_X	16500	28	0.005975
(54,97)(15096,19927)(15000,20000)	AgamP4_X	17500	45	0.003065
(59,97)(16521,19927)(16000,21000)	AgamP4_X	18500	40	0.002469
(62,100)(17169,21672)(17000,22000)	AgamP4_X	19500	40	0.002515
(73,111)(18125,22845)(18000,23000)	AgamP4_X	20500	40	0.001314
(77,113)(19574,23602)(19000,24000)	AgamP4_X	21500	38	0.001271
(98,115)(21441,24711)(20000,25000)	AgamP4_X	22500	19	0.002505
(98,119)(21441,25875)(21000,26000)	AgamP4_X	23500	23	0.002534
(101,124)(22033,26978)(22000,27000)	AgamP4_X	24500	25	0.003736
(112,137)(23290,27882)(23000,28000)	AgamP4_X	25500	27	0.003740
(114,137)(24355,27882)(24000,29000)	AgamP4_X	26500	25	0.004140
(116,142)(25132,29850)(25000,30000)	AgamP4_X	27500	28	0.002659
(120,158)(26278,30970)(26000,31000)	AgamP4_X	28500	40	0.002583
(125,173)(27107,31822)(27000,32000)	AgamP4_X	29500	50	0.002710
(138,173)(29409,31822)(28000,33000)	AgamP4_X	30500	37	0.003458
(138,173)(29409,31822)(29000,34000)	AgamP4_X	31500	37	0.003458
(143,174)(30272,34013)(30000,35000)	AgamP4_X	32500	33	0.003536
(159,177)(31006,35281)(31000,36000)	AgamP4_X	33500	20	0.004324
(174,180)(34013,36887)(32000,37000)	AgamP4_X	34500	8	0.002193
(174,208)(34013,37554)(33000,38000)	AgamP4_X	35500	36	0.003575
(174,210)(34013,38990)(34000,39000)	AgamP4_X	36500	38	0.003326
(175,210)(35210,38990)(35000,40000)	AgamP4_X	37500	37	0.003251
(178,212)(36257,40542)(36000,41000)	AgamP4_X	38500	36	0.002749
(181,213)(37016,41966)(37000,42000)	AgamP4_X	39500	34	0.003105
(209,219)(38979,42752)(38000,43000)	AgamP4_X	40500	12	-0.000853
(211,227)(40295,43916)(39000,44000)	AgamP4_X	41500	18	-0.000961
(211,227)(40295,43916)(40000,45000)	AgamP4_X	42500	18	-0.000961
(213,231)(41966,45987)(41000,46000)	AgamP4_X	43500	20	0.001577
(214,241)(42007,46671)(42000,47000)	AgamP4_X	44500	29	0.003380
(220,255)(43100,47973)(43000,48000)	AgamP4_X	45500	37	0.004416
(228,260)(45394,48913)(44000,49000)	AgamP4_X	46500	34	0.006569
(228,261)(45394,49193)(45000,50000)	AgamP4_X	47500	35	0.006912
(232,265)(46012,50942)(46000,51000)	AgamP4_X	48500	35	0.005631
(242,268)(47061,51738)(47000,52000)	AgamP4_X	49500	28	0.004416
(256,275)(48321,52925)(48000,53000)	AgamP4_X	50500	21	0.005341
(261,278)(49193,53543)(49000,54000)	AgamP4_X	51500	19	0.003437
(262,283)(50414,54910)(50000,55000)	AgamP4_X	52500	23	0.001797
(266,294)(51251,55981)(51000,56000)	AgamP4_X	53500	30	0.001034
(269,310)(52140,56895)(52000,57000)	AgamP4_X	54500	43	0.004785
(276,315)(53434,57596)(53000,58000)	AgamP4_X	55500	41	0.004261
(279,322)(54495,58989)(54000,59000)	AgamP4_X	56500	45	0.003738
(284,328)(55042,59697)(55000,60000)	AgamP4_X	57500	46	0.005051
(295,336)(56003,60865)(56000,61000)	AgamP4_X	58500	43	0.005768
(311,351)(57080,61877)(57000,62000)	AgamP4_X	59500	42	0.006105
(316,359)(58330,62965)(58000,63000)	AgamP4_X	60500	45	0.007067
(323,367)(59033,63997)(59000,64000)	AgamP4_X	61500	46	0.007621
(329,380)(60537,64983)(60000,65000)	AgamP4_X	62500	53	0.008070
(337,393)(61091,65964)(61000,66000)	AgamP4_X	63500	58	0.008086
(352,400)(62091,66675)(62000,67000)	AgamP4_X	64500	50	0.007072
(360,403)(63117,67521)(63000,68000)	AgamP4_X	65500	45	0.007185
(368,411)(64124,68949)(64000,69000)	AgamP4_X	66500	45	0.007527
(381,420)(65007,69895)(65000,70000)	AgamP4_X	67500	41	0.006975
(394,430)(66137,70856)(66000,71000)	AgamP4_X	68500	38	0.010981
(401,435)(67193,71353)(67000,72000)	AgamP4_X	69500	36	0.010631
(404,449)(68253,72838)(68000,73000)	AgamP4_X	70500	47	0.008040
(412,457)(69099,73829)(69000,74000)	AgamP4_X	71500	47	0.009298
(421,463)(70110,74813)(70000,75000)	AgamP4_X	72500	44	0.009043
(431,468)(71029,75937)(71000,76000)	AgamP4_X	73500	39	0.005613
(436,480)(72010,76793)(72000,77000)	AgamP4_X	74500	46	0.006787
(450,488)(73103,77808)(73000,78000)	AgamP4_X	75500	40	0.008860
(458,492)(74259,78987)(74000,79000)	AgamP4_X	76500	36	0.008278
(464,502)(75332,79999)(75000,80000)	AgamP4_X	77500	40	0.008383
(469,511)(76025,80852)(76000,81000)	AgamP4_X	78500	44	0.010697
(481,516)(77352,81839)(77000,82000)	AgamP4_X	79500	37	0.015981
(489,524)(78629,82913)(78000,83000)	AgamP4_X	80500	37	0.020930
(493,533)(79008,83840)(79000,84000)	AgamP4_X	81500	42	0.018924
(503,536)(80009,84175)(80000,85000)	AgamP4_X	82500	35	0.022012
(512,537)(81113,85695)(81000,86000)	AgamP4_X	83500	27	0.024071
(517,538)(82046,86845)(82000,87000)	AgamP4_X	84500	23	0.019036
(525,540)(83216,87289)(83000,88000)	AgamP4_X	85500	17	0.006562
(534,546)(84052,88972)(84000,89000)	AgamP4_X	86500	14	0.005374
(537,550)(85695,89706)(85000,90000)	AgamP4_X	87500	15	0.002081
(538,550)(86845,89706)(86000,91000)	AgamP4_X	88500	14	0.000924
(539,552)(87022,91624)(87000,92000)	AgamP4_X	89500	15	0.003870
(541,555)(88011,92972)(88000,93000)	AgamP4_X	90500	16	0.003980
(547,558)(89054,93767)(89000,94000)	AgamP4_X	91500	13	0.009602
(551,560)(91496,94581)(90000,95000)	AgamP4_X	92500	11	0.009205
(551,570)(91496,95687)(91000,96000)	AgamP4_X	93500	21	0.006148
(553,577)(92377,96887)(92000,97000)	AgamP4_X	94500	26	0.003085
(556,582)(93586,97946)(93000,98000)	AgamP4_X	95500	28	0.003111
(559,585)(94356,98688)(94000,99000)	AgamP4_X	96500	28	0.001680
(561,600)(95177,99991)(95000,100000)	AgamP4_X	97500	41	0.002776
(571,610)(96054,100997)(96000,101000)	AgamP4_X	98500	41	0.003305
(578,614)(97205,101859)(97000,102000)	AgamP4_X	99500	38	0.003413
(583,618)(98579,102971)(98000,103000)	AgamP4_X	100500	37	0.003703
(586,624)(99226,103898)(99000,104000)	AgamP4_X	101500	40	0.002710
(601,631)(100274,104988)(100000,105000)	AgamP4_X	102500	32	0.001382
(611,638)(101416,105889)(101000,106000)	AgamP4_X	103500	29	0.000293
(615,644)(102107,106983)(102000,107000)	AgamP4_X	104500	31	0.001552
(619,644)(103106,106983)(103000,108000)	AgamP4_X	105500	27	0.001529
(625,654)(104098,108591)(104000,109000)	AgamP4_X	106500	31	0.004322
(632,655)(105139,109170)(105000,110000)	AgamP4_X	107500	25	0.004797
(639,659)(106393,110941)(106000,111000)	AgamP4_X	108500	22	0.006465
(645,666)(108197,111900)(107000,112000)	AgamP4_X	109500	23	0.006584
(645,672)(108197,112995)(108000,113000)	AgamP4_X	110500	29	0.007622
(655,684)(109170,113813)(109000,114000)	AgamP4_X	111500	31	0.020120
(656,690)(110085,114835)(110000,115000)	AgamP4_X	112500	36	0.017723
(660,694)(111002,115336)(111000,116000)	AgamP4_X	113500	36	0.017289
(667,706)(112076,116989)(112000,117000)	AgamP4_X	114500	41	0.014770
(673,714)(113000,117851)(113000,118000)	AgamP4_X	115500	43	0.016808
(685,728)(114141,118969)(114000,119000)	AgamP4_X	116500	45	0.008463
(691,751)(115275,119883)(115000,120000)	AgamP4_X	117500	62	0.005213
(695,759)(116328,120997)(116000,121000)	AgamP4_X	118500	66	0.004365
(707,763)(117051,121978)(117000,122000)	AgamP4_X	119500	58	0.003554
(715,775)(118036,122969)(118000,123000)	AgamP4_X	120500	62	0.000410
(729,783)(119012,123811)(119000,124000)	AgamP4_X	121500	56	0.001312
(752,795)(120085,124961)(120000,125000)	AgamP4_X	122500	45	0.004346
(760,801)(121611,125797)(121000,126000)	AgamP4_X	123500	43	0.005567
(764,812)(122465,126973)(122000,127000)	AgamP4_X	124500	50	0.004895
(776,820)(123063,127807)(123000,128000)	AgamP4_X	125500	46	0.007245
(784,825)(124153,128670)(124000,129000)	AgamP4_X	126500	43	0.007216
(796,829)(125217,129657)(125000,130000)	AgamP4_X	127500	35	0.006710
(802,833)(126117,130688)(126000,131000)	AgamP4_X	128500	33	0.006165
(813,839)(127042,131933)(127000,132000)	AgamP4_X	129500	28	0.007469
(821,849)(128386,132965)(128000,133000)	AgamP4_X	130500	30	0.003308
(826,860)(129095,133941)(129000,134000)	AgamP4_X	131500	36	0.003535
(830,867)(130185,134534)(130000,135000)	AgamP4_X	132500	39	0.003402
(834,876)(131099,135979)(131000,136000)	AgamP4_X	133500	44	0.002733
(840,880)(132112,136442)(132000,137000)	AgamP4_X	134500	42	0.003243
(850,884)(133033,137863)(133000,138000)	AgamP4_X	135500	36	0.003586
(861,890)(134281,138925)(134000,139000)	AgamP4_X	136500	31	0.004320
(868,891)(135021,139160)(135000,140000)	AgamP4_X	137500	25	0.006369
(877,900)(136015,140902)(136000,141000)	AgamP4_X	138500	25	0.010471
(881,904)(137072,141706)(137000,142000)	AgamP4_X	139500	25	0.011123
(885,911)(138036,142596)(138000,143000)	AgamP4_X	140500	28	0.013082
(891,914)(139160,143958)(139000,144000)	AgamP4_X	141500	25	0.011148
(892,922)(140076,144963)(140000,145000)	AgamP4_X	142500	32	0.009445
(901,933)(141228,145883)(141000,146000)	AgamP4_X	143500	34	0.008187
(905,944)(142053,146829)(142000,147000)	AgamP4_X	144500	41	0.009934
(912,951)(143349,147893)(143000,148000)	AgamP4_X	145500	41	0.009159
(915,954)(144004,148428)(144000,149000)	AgamP4_X	146500	41	0.009548
(923,960)(145011,149891)(145000,150000)	AgamP4_X	147500	39	0.010189
(934,982)(146042,150995)(146000,151000)	AgamP4_X	148500	50	0.009014
(945,997)(147124,151799)(147000,152000)	AgamP4_X	149500	54	0.006207
(952,1004)(148042,152975)(148000,153000)	AgamP4_X	150500	54	0.005160
(955,1025)(149408,153942)(149000,154000)	AgamP4_X	151500	72	0.005660
(961,1032)(150131,154983)(150000,155000)	AgamP4_X	152500	73	0.005464
(983,1042)(151057,155830)(151000,156000)	AgamP4_X	153500	61	0.005698
(998,1053)(152211,156935)(152000,157000)	AgamP4_X	154500	57	0.006649
