region	chr	midPos	Nsites
(7,49)(2012,6572)(2000,7000)	AgamP4_2L	4500	44	0.013288
(12,57)(3171,7996)(3000,8000)	AgamP4_2L	5500	47	0.009532
(13,81)(4030,8954)(4000,9000)	AgamP4_2L	6500	70	0.009395
(37,84)(5390,9671)(5000,10000)	AgamP4_2L	7500	49	0.014292
(43,85)(6119,10224)(6000,11000)	AgamP4_2L	8500	44	0.017251
(50,85)(7741,10224)(7000,12000)	AgamP4_2L	9500	37	0.013281
(58,85)(8071,10224)(8000,13000)	AgamP4_2L	10500	29	0.011858
(82,86)(9158,13705)(9000,14000)	AgamP4_2L	11500	6	0.026952
(85,86)(10224,13705)(10000,15000)	AgamP4_2L	12500	3	0.042504
(86,92)(13705,15973)(11000,16000)	AgamP4_2L	13500	8	0.007458
(86,96)(13705,16917)(12000,17000)	AgamP4_2L	14500	12	0.008229
(86,100)(13705,17458)(13000,18000)	AgamP4_2L	15500	16	0.011805
(87,108)(15498,18928)(14000,19000)	AgamP4_2L	16500	23	0.015143
(87,118)(15498,19626)(15000,20000)	AgamP4_2L	17500	33	0.015358
(93,118)(16042,19626)(16000,21000)	AgamP4_2L	18500	27	0.016655
(97,118)(17344,19626)(17000,22000)	AgamP4_2L	19500	23	0.017352
(101,118)(18357,19626)(18000,23000)	AgamP4_2L	20500	19	0.016999
(109,118)(19104,19626)(19000,24000)	AgamP4_2L	21500	11	0.015715
(119,121)(24601,24721)(20000,25000)	AgamP4_2L	22500	4	-0.001950
(119,121)(24601,24721)(21000,26000)	AgamP4_2L	23500	4	-0.001950
(119,124)(24601,26924)(22000,27000)	AgamP4_2L	24500	7	-0.000820
(119,136)(24601,27467)(23000,28000)	AgamP4_2L	25500	19	0.000769
(119,136)(24601,27467)(24000,29000)	AgamP4_2L	26500	19	0.000769
(122,136)(26893,27467)(25000,30000)	AgamP4_2L	27500	16	0.001269
(122,136)(26893,27467)(26000,31000)	AgamP4_2L	28500	16	0.001269
(125,137)(27029,31038)(27000,32000)	AgamP4_2L	29500	14	0.004592
(137,137)(31038,31038)(28000,33000)	AgamP4_2L	30500	2	0.035058
(137,137)(31038,31038)(29000,34000)	AgamP4_2L	31500	2	0.035058
(137,137)(31038,31038)(30000,35000)	AgamP4_2L	32500	2	0.035058
(137,137)(31038,31038)(31000,36000)	AgamP4_2L	33500	2	0.035058
(138,146)(43029,43564)(39000,44000)	AgamP4_2L	41500	10	0.141942
(138,147)(43029,44531)(40000,45000)	AgamP4_2L	42500	11	0.134994
(138,167)(43029,45977)(41000,46000)	AgamP4_2L	43500	31	0.059488
(138,168)(43029,46038)(42000,47000)	AgamP4_2L	44500	32	0.057979
(138,168)(43029,46038)(43000,48000)	AgamP4_2L	45500	32	0.057979
(147,171)(44531,48752)(44000,49000)	AgamP4_2L	46500	26	0.009528
(148,184)(45134,49975)(45000,50000)	AgamP4_2L	47500	38	0.008934
(168,192)(46038,50773)(46000,51000)	AgamP4_2L	48500	26	0.007511
(169,192)(48622,50773)(47000,52000)	AgamP4_2L	49500	25	0.006105
(169,204)(48622,52967)(48000,53000)	AgamP4_2L	50500	37	0.020311
(172,210)(49576,53971)(49000,54000)	AgamP4_2L	51500	40	0.025951
(185,223)(50094,54943)(50000,55000)	AgamP4_2L	52500	40	0.030959
(193,229)(52617,55850)(51000,56000)	AgamP4_2L	53500	38	0.033052
(193,233)(52617,56768)(52000,57000)	AgamP4_2L	54500	42	0.037139
(205,247)(53017,57928)(53000,58000)	AgamP4_2L	55500	44	0.022911
(211,248)(54061,58469)(54000,59000)	AgamP4_2L	56500	39	0.018838
(224,254)(55076,59987)(55000,60000)	AgamP4_2L	57500	32	0.015851
(230,259)(56314,60427)(56000,61000)	AgamP4_2L	58500	31	0.014827
(234,264)(57320,61245)(57000,62000)	AgamP4_2L	59500	32	0.003825
(248,267)(58469,62569)(58000,63000)	AgamP4_2L	60500	21	0.004122
(249,267)(59184,62569)(59000,64000)	AgamP4_2L	61500	20	0.003330
(255,273)(60053,64871)(60000,65000)	AgamP4_2L	62500	20	0.016424
(260,279)(61075,65840)(61000,66000)	AgamP4_2L	63500	21	0.018062
(265,287)(62448,66964)(62000,67000)	AgamP4_2L	64500	24	0.022156
(268,298)(64133,67971)(63000,68000)	AgamP4_2L	65500	32	0.026958
(268,305)(64133,68937)(64000,69000)	AgamP4_2L	66500	39	0.025238
(274,325)(65345,69968)(65000,70000)	AgamP4_2L	67500	53	0.017618
(280,348)(66173,70890)(66000,71000)	AgamP4_2L	68500	70	0.016369
(288,355)(67087,71902)(67000,72000)	AgamP4_2L	69500	69	0.014831
(299,356)(68599,72306)(68000,73000)	AgamP4_2L	70500	59	0.012149
(306,356)(69026,72306)(69000,74000)	AgamP4_2L	71500	52	0.012015
(326,371)(70002,74992)(70000,75000)	AgamP4_2L	72500	47	0.012615
(349,375)(71129,75103)(71000,76000)	AgamP4_2L	73500	28	0.015710
(356,375)(72306,75103)(72000,77000)	AgamP4_2L	74500	21	0.017323
(357,388)(74467,77971)(73000,78000)	AgamP4_2L	75500	33	0.028333
(357,406)(74467,78906)(74000,79000)	AgamP4_2L	76500	51	0.019159
(372,406)(75084,78906)(75000,80000)	AgamP4_2L	77500	36	0.023073
(376,406)(77294,78906)(76000,81000)	AgamP4_2L	78500	32	0.022933
(376,430)(77294,81995)(77000,82000)	AgamP4_2L	79500	56	0.012676
(389,449)(78043,82980)(78000,83000)	AgamP4_2L	80500	62	-0.000877
(407,476)(81076,83975)(79000,84000)	AgamP4_2L	81500	71	-0.001105
(407,489)(81076,84876)(80000,85000)	AgamP4_2L	82500	84	-0.001212
(407,510)(81076,85980)(81000,86000)	AgamP4_2L	83500	105	-0.001387
(431,534)(82002,86983)(82000,87000)	AgamP4_2L	84500	105	-0.001736
(450,552)(83128,87929)(83000,88000)	AgamP4_2L	85500	104	-0.000723
(477,563)(84071,88911)(84000,89000)	AgamP4_2L	86500	88	-0.001119
(490,571)(85018,89559)(85000,90000)	AgamP4_2L	87500	83	0.000218
(511,571)(86078,89559)(86000,91000)	AgamP4_2L	88500	62	0.000997
(535,571)(87002,89559)(87000,92000)	AgamP4_2L	89500	38	0.003147
(553,571)(88076,89559)(88000,93000)	AgamP4_2L	90500	20	0.004000
(564,571)(89006,89559)(89000,94000)	AgamP4_2L	91500	9	0.009737
(572,572)(95607,95607)(91000,96000)	AgamP4_2L	93500	2	0.020653
(572,580)(95607,96994)(92000,97000)	AgamP4_2L	94500	10	0.010270
(572,606)(95607,97995)(93000,98000)	AgamP4_2L	95500	36	0.005796
(572,631)(95607,98960)(94000,99000)	AgamP4_2L	96500	61	0.001430
(572,641)(95607,99973)(95000,100000)	AgamP4_2L	97500	71	0.004368
(573,648)(96413,100759)(96000,101000)	AgamP4_2L	98500	77	0.005910
(581,651)(97234,101699)(97000,102000)	AgamP4_2L	99500	72	0.005389
(607,651)(98003,101699)(98000,103000)	AgamP4_2L	100500	46	0.006019
(632,666)(99090,103891)(99000,104000)	AgamP4_2L	101500	36	0.010289
(642,668)(100201,104097)(100000,105000)	AgamP4_2L	102500	28	0.008865
(649,668)(101639,104097)(101000,106000)	AgamP4_2L	103500	21	0.003917
(652,681)(103061,106985)(102000,107000)	AgamP4_2L	104500	31	0.008000
(652,694)(103061,107870)(103000,108000)	AgamP4_2L	105500	44	0.005395
(667,703)(104016,108995)(104000,109000)	AgamP4_2L	106500	38	0.007572
(669,711)(106299,109784)(105000,110000)	AgamP4_2L	107500	44	0.012450
(669,711)(106299,109784)(106000,111000)	AgamP4_2L	108500	44	0.012450
(682,711)(107026,109784)(107000,112000)	AgamP4_2L	109500	31	0.012547
(695,711)(108359,109784)(108000,113000)	AgamP4_2L	110500	18	0.023526
(704,711)(109124,109784)(109000,114000)	AgamP4_2L	111500	9	0.047826
