region	chr	midPos	Nsites
(4,9)(9296,9598)(5000,10000)	AgamP4_3L	7500	7	0.009572
(4,12)(9296,10610)(6000,11000)	AgamP4_3L	8500	10	0.024062
(4,12)(9296,10610)(7000,12000)	AgamP4_3L	9500	10	0.024062
(4,12)(9296,10610)(8000,13000)	AgamP4_3L	10500	10	0.024062
(4,12)(9296,10610)(9000,14000)	AgamP4_3L	11500	10	0.024062
(10,12)(10253,10610)(10000,15000)	AgamP4_3L	12500	4	0.045255
(13,19)(18194,18990)(14000,19000)	AgamP4_3L	16500	8	0.017488
(13,22)(18194,19636)(15000,20000)	AgamP4_3L	17500	11	0.017357
(13,30)(18194,20953)(16000,21000)	AgamP4_3L	18500	19	0.008838
(13,49)(18194,21965)(17000,22000)	AgamP4_3L	19500	38	0.004282
(13,56)(18194,22870)(18000,23000)	AgamP4_3L	20500	45	0.006970
(20,56)(19085,22870)(19000,24000)	AgamP4_3L	21500	38	0.005739
(23,56)(20322,22870)(20000,25000)	AgamP4_3L	22500	35	0.004985
(31,56)(21049,22870)(21000,26000)	AgamP4_3L	23500	27	0.006193
(50,70)(22149,26627)(22000,27000)	AgamP4_3L	24500	22	0.015176
(57,74)(26071,27555)(23000,28000)	AgamP4_3L	25500	19	0.008827
(57,76)(26071,28402)(24000,29000)	AgamP4_3L	26500	21	0.008274
(57,77)(26071,29771)(25000,30000)	AgamP4_3L	27500	22	0.007979
(57,77)(26071,29771)(26000,31000)	AgamP4_3L	28500	22	0.007979
(71,77)(27494,29771)(27000,32000)	AgamP4_3L	29500	8	-0.001638
(75,77)(28313,29771)(28000,33000)	AgamP4_3L	30500	4	0.002014
(77,77)(29771,29771)(29000,34000)	AgamP4_3L	31500	2	0.002889
(78,78)(34686,34686)(30000,35000)	AgamP4_3L	32500	2	0.020446
(78,87)(34686,35975)(31000,36000)	AgamP4_3L	33500	11	0.000846
(78,94)(34686,36705)(32000,37000)	AgamP4_3L	34500	18	0.003571
(78,102)(34686,37736)(33000,38000)	AgamP4_3L	35500	26	0.010186
(78,102)(34686,37736)(34000,39000)	AgamP4_3L	36500	26	0.010186
(79,102)(35177,37736)(35000,40000)	AgamP4_3L	37500	25	0.009679
(88,102)(36069,37736)(36000,41000)	AgamP4_3L	38500	16	0.016828
(95,102)(37166,37736)(37000,42000)	AgamP4_3L	39500	9	0.025617
(103,108)(58111,58504)(54000,59000)	AgamP4_3L	56500	7	0.035781
(103,113)(58111,59906)(55000,60000)	AgamP4_3L	57500	12	0.023984
(103,114)(58111,60858)(56000,61000)	AgamP4_3L	58500	13	0.025502
(103,115)(58111,61587)(57000,62000)	AgamP4_3L	59500	14	0.026381
(103,116)(58111,62490)(58000,63000)	AgamP4_3L	60500	15	0.025187
(109,117)(59164,63645)(59000,64000)	AgamP4_3L	61500	10	0.016348
(114,120)(60858,64667)(60000,65000)	AgamP4_3L	62500	8	0.018949
(115,124)(61587,65242)(61000,66000)	AgamP4_3L	63500	11	0.012612
(116,124)(62490,65242)(62000,67000)	AgamP4_3L	64500	10	0.009695
(117,127)(63645,67829)(63000,68000)	AgamP4_3L	65500	12	0.009392
(118,128)(64109,68412)(64000,69000)	AgamP4_3L	66500	12	0.005975
(121,130)(65235,69715)(65000,70000)	AgamP4_3L	67500	11	0.031548
(125,130)(67197,69715)(66000,71000)	AgamP4_3L	68500	7	0.044810
(125,134)(67197,71968)(67000,72000)	AgamP4_3L	69500	11	0.022410
(128,155)(68412,72912)(68000,73000)	AgamP4_3L	70500	29	0.006691
(129,171)(69551,73962)(69000,74000)	AgamP4_3L	71500	44	0.005762
(131,187)(71839,74982)(70000,75000)	AgamP4_3L	72500	58	0.000776
(131,204)(71839,75994)(71000,76000)	AgamP4_3L	73500	75	0.001058
(135,207)(72006,76889)(72000,77000)	AgamP4_3L	74500	74	0.001616
(156,208)(73181,77329)(73000,78000)	AgamP4_3L	75500	54	0.002261
(172,208)(74035,77329)(74000,79000)	AgamP4_3L	76500	38	0.001732
(188,209)(75041,79962)(75000,80000)	AgamP4_3L	77500	23	0.005597
(205,216)(76124,80654)(76000,81000)	AgamP4_3L	78500	13	0.031273
(208,216)(77329,80654)(77000,82000)	AgamP4_3L	79500	10	0.031608
(209,218)(79962,82936)(78000,83000)	AgamP4_3L	80500	11	0.023422
(209,219)(79962,83313)(79000,84000)	AgamP4_3L	81500	12	0.021644
(210,219)(80449,83313)(80000,85000)	AgamP4_3L	82500	11	0.020425
(217,219)(82026,83313)(81000,86000)	AgamP4_3L	83500	4	0.003691
(217,224)(82026,86749)(82000,87000)	AgamP4_3L	84500	9	0.015826
(219,227)(83313,87413)(83000,88000)	AgamP4_3L	85500	10	0.021158
(220,235)(86253,88901)(84000,89000)	AgamP4_3L	86500	17	0.011752
(220,250)(86253,89971)(85000,90000)	AgamP4_3L	87500	32	0.009844
(220,258)(86253,90939)(86000,91000)	AgamP4_3L	88500	40	0.009108
(225,260)(87272,91800)(87000,92000)	AgamP4_3L	89500	37	0.006346
(228,266)(88344,92558)(88000,93000)	AgamP4_3L	90500	40	0.005077
(236,269)(89058,93441)(89000,94000)	AgamP4_3L	91500	35	0.006629
(251,272)(90058,94463)(90000,95000)	AgamP4_3L	92500	23	0.007791
(259,272)(91783,94463)(91000,96000)	AgamP4_3L	93500	15	0.008712
(261,272)(92040,94463)(92000,97000)	AgamP4_3L	94500	13	0.008258
(267,275)(93287,97973)(93000,98000)	AgamP4_3L	95500	10	0.016970
(270,278)(94453,98148)(94000,99000)	AgamP4_3L	96500	10	0.017316
(273,280)(97877,99908)(95000,100000)	AgamP4_3L	97500	9	0.018901
(273,282)(97877,100710)(96000,101000)	AgamP4_3L	98500	11	0.017582
(273,287)(97877,101971)(97000,102000)	AgamP4_3L	99500	16	0.016716
(276,302)(98030,102977)(98000,103000)	AgamP4_3L	100500	28	0.016550
(279,313)(99564,103962)(99000,104000)	AgamP4_3L	101500	36	0.012958
(281,324)(100504,104819)(100000,105000)	AgamP4_3L	102500	45	0.008921
(283,334)(101415,105948)(101000,106000)	AgamP4_3L	103500	53	0.007473
(288,353)(102011,106978)(102000,107000)	AgamP4_3L	104500	67	0.003673
(303,371)(103078,107940)(103000,108000)	AgamP4_3L	105500	70	-0.001288
(314,385)(104012,108901)(104000,109000)	AgamP4_3L	106500	73	-0.002216
(325,394)(105333,109967)(105000,110000)	AgamP4_3L	107500	71	-0.001495
(335,401)(106029,110991)(106000,111000)	AgamP4_3L	108500	68	-0.001817
(354,410)(107076,111521)(107000,112000)	AgamP4_3L	109500	58	-0.001142
(372,416)(108064,112963)(108000,113000)	AgamP4_3L	110500	46	0.000017
(386,420)(109006,113470)(109000,114000)	AgamP4_3L	111500	36	0.002043
(395,423)(110251,114354)(110000,115000)	AgamP4_3L	112500	30	0.004015
(402,426)(111161,115944)(111000,116000)	AgamP4_3L	113500	26	0.003835
(411,426)(112642,115944)(112000,117000)	AgamP4_3L	114500	17	0.007802
(417,428)(113125,117494)(113000,118000)	AgamP4_3L	115500	13	0.014375
(421,429)(114305,118014)(114000,119000)	AgamP4_3L	116500	10	0.021010
(424,429)(115140,118014)(115000,120000)	AgamP4_3L	117500	7	0.016637
(427,435)(117155,120516)(116000,121000)	AgamP4_3L	118500	10	0.019905
(427,436)(117155,121962)(117000,122000)	AgamP4_3L	119500	11	0.018664
(429,436)(118014,121962)(118000,123000)	AgamP4_3L	120500	9	0.016677
(430,438)(120376,123715)(119000,124000)	AgamP4_3L	121500	10	0.007290
(430,438)(120376,123715)(120000,125000)	AgamP4_3L	122500	10	0.007290
(436,440)(121962,125815)(121000,126000)	AgamP4_3L	123500	6	0.006489
(437,444)(123684,126972)(122000,127000)	AgamP4_3L	124500	9	0.020653
(437,444)(123684,126972)(123000,128000)	AgamP4_3L	125500	9	0.020653
(439,444)(125814,126972)(124000,129000)	AgamP4_3L	126500	7	0.029741
(439,444)(125814,126972)(125000,130000)	AgamP4_3L	127500	7	0.029741
(441,446)(126414,130964)(126000,131000)	AgamP4_3L	128500	7	0.020470
(445,447)(130164,131128)(127000,132000)	AgamP4_3L	129500	4	-0.002185
(445,447)(130164,131128)(128000,133000)	AgamP4_3L	130500	4	-0.002185
(445,448)(130164,133414)(129000,134000)	AgamP4_3L	131500	5	0.009421
(445,448)(130164,133414)(130000,135000)	AgamP4_3L	132500	5	0.009421
(447,449)(131128,135888)(131000,136000)	AgamP4_3L	133500	4	0.019398
(448,454)(133414,136951)(132000,137000)	AgamP4_3L	134500	8	0.022223
(448,455)(133414,137497)(133000,138000)	AgamP4_3L	135500	9	0.026005
(449,458)(135888,138936)(134000,139000)	AgamP4_3L	136500	11	0.029151
(449,458)(135888,138936)(135000,140000)	AgamP4_3L	137500	11	0.029151
(450,460)(136090,140909)(136000,141000)	AgamP4_3L	138500	12	0.024599
(455,463)(137497,141826)(137000,142000)	AgamP4_3L	139500	10	0.024663
(456,467)(138214,142539)(138000,143000)	AgamP4_3L	140500	13	0.017968
(459,491)(140234,143998)(139000,144000)	AgamP4_3L	141500	34	0.006762
(459,506)(140234,144961)(140000,145000)	AgamP4_3L	142500	49	0.006075
(461,515)(141279,145762)(141000,146000)	AgamP4_3L	143500	56	0.005600
(464,516)(142244,146103)(142000,147000)	AgamP4_3L	144500	54	0.004438
(468,520)(143206,147768)(143000,148000)	AgamP4_3L	145500	54	0.004754
(492,520)(144017,147768)(144000,149000)	AgamP4_3L	146500	30	0.003903
(507,520)(145040,147768)(145000,150000)	AgamP4_3L	147500	15	0.003103
(516,520)(146103,147768)(146000,151000)	AgamP4_3L	148500	6	0.006836
(517,520)(147262,147768)(147000,152000)	AgamP4_3L	149500	5	0.008655
(521,523)(153282,153833)(149000,154000)	AgamP4_3L	151500	4	0.013261
(521,527)(153282,154977)(150000,155000)	AgamP4_3L	152500	8	0.005752
(521,530)(153282,155677)(151000,156000)	AgamP4_3L	153500	11	0.006775
(521,531)(153282,156810)(152000,157000)	AgamP4_3L	154500	12	0.007083
(521,536)(153282,157943)(153000,158000)	AgamP4_3L	155500	17	0.008782
(524,551)(154374,158705)(154000,159000)	AgamP4_3L	156500	29	0.005142
(528,558)(155001,159657)(155000,160000)	AgamP4_3L	157500	32	0.006132
(531,560)(156810,160886)(156000,161000)	AgamP4_3L	158500	31	0.009380
(532,560)(157005,160886)(157000,162000)	AgamP4_3L	159500	30	0.009351
(537,561)(158178,162249)(158000,163000)	AgamP4_3L	160500	26	0.013220
(552,562)(159035,163601)(159000,164000)	AgamP4_3L	161500	12	0.021925
(559,566)(160576,164677)(160000,165000)	AgamP4_3L	162500	9	0.046748
(561,571)(162249,165917)(161000,166000)	AgamP4_3L	163500	12	0.032697
(561,573)(162249,166684)(162000,167000)	AgamP4_3L	164500	14	0.029962
(562,573)(163601,166684)(163000,168000)	AgamP4_3L	165500	13	0.019561
(563,575)(164051,168910)(164000,169000)	AgamP4_3L	166500	14	0.031813
(567,578)(165122,169598)(165000,170000)	AgamP4_3L	167500	13	0.030682
(572,579)(166560,170175)(166000,171000)	AgamP4_3L	168500	9	0.033809
(574,582)(168086,171896)(167000,172000)	AgamP4_3L	169500	10	0.030541
(574,585)(168086,172499)(168000,173000)	AgamP4_3L	170500	13	0.024507
(576,592)(169413,173741)(169000,174000)	AgamP4_3L	171500	18	0.006702
(579,603)(170175,174933)(170000,175000)	AgamP4_3L	172500	26	0.004164
(580,611)(171059,175898)(171000,176000)	AgamP4_3L	173500	33	0.003280
(583,612)(172055,176612)(172000,177000)	AgamP4_3L	174500	31	0.003264
(586,616)(173456,177789)(173000,178000)	AgamP4_3L	175500	32	0.004157
(593,625)(174034,178917)(174000,179000)	AgamP4_3L	176500	34	0.004797
(604,626)(175020,179199)(175000,180000)	AgamP4_3L	177500	24	0.004069
(612,633)(176612,180974)(176000,181000)	AgamP4_3L	178500	23	0.009747
(613,636)(177074,181906)(177000,182000)	AgamP4_3L	179500	25	0.012136
(617,636)(178143,181906)(178000,183000)	AgamP4_3L	180500	21	0.013246
(626,641)(179199,183582)(179000,184000)	AgamP4_3L	181500	17	0.014665
(627,643)(180036,184491)(180000,185000)	AgamP4_3L	182500	18	0.014652
(634,646)(181494,185717)(181000,186000)	AgamP4_3L	183500	14	0.018577
(637,651)(183212,186975)(182000,187000)	AgamP4_3L	184500	16	0.017138
(637,653)(183212,187564)(183000,188000)	AgamP4_3L	185500	18	0.014581
(642,654)(184486,188706)(184000,189000)	AgamP4_3L	186500	14	0.020200
(644,656)(185117,189778)(185000,190000)	AgamP4_3L	187500	14	0.023056
(647,658)(186314,190997)(186000,191000)	AgamP4_3L	188500	13	0.017204
(652,659)(187396,191873)(187000,192000)	AgamP4_3L	189500	9	0.014786
(654,660)(188706,192628)(188000,193000)	AgamP4_3L	190500	8	0.019923
(655,662)(189003,193763)(189000,194000)	AgamP4_3L	191500	9	0.013689
(657,667)(190921,194830)(190000,195000)	AgamP4_3L	192500	12	0.009213
(659,669)(191873,195895)(191000,196000)	AgamP4_3L	193500	12	0.009346
(660,674)(192628,196903)(192000,197000)	AgamP4_3L	194500	16	0.013282
(661,681)(193540,197662)(193000,198000)	AgamP4_3L	195500	22	0.012811
(663,683)(194159,198417)(194000,199000)	AgamP4_3L	196500	22	0.014344
(668,688)(195355,199976)(195000,200000)	AgamP4_3L	197500	22	0.016714
(670,691)(196371,200984)(196000,201000)	AgamP4_3L	198500	23	0.015038
(675,692)(197112,201701)(197000,202000)	AgamP4_3L	199500	19	0.011903
(682,698)(198390,202509)(198000,203000)	AgamP4_3L	200500	18	0.009082
(684,702)(199598,203495)(199000,204000)	AgamP4_3L	201500	20	0.007480
(689,702)(200090,203495)(200000,205000)	AgamP4_3L	202500	15	0.004782
(692,702)(201701,203495)(201000,206000)	AgamP4_3L	203500	12	0.006875
(693,702)(202082,203495)(202000,207000)	AgamP4_3L	204500	11	0.007739
(699,704)(203116,207917)(203000,208000)	AgamP4_3L	205500	7	0.007238
(703,706)(207419,208736)(204000,209000)	AgamP4_3L	206500	5	-0.002744
(703,706)(207419,208736)(205000,210000)	AgamP4_3L	207500	5	-0.002744
(703,706)(207419,208736)(206000,211000)	AgamP4_3L	208500	5	-0.002744
(703,706)(207419,208736)(207000,212000)	AgamP4_3L	209500	5	-0.002744
(705,707)(208564,212945)(208000,213000)	AgamP4_3L	210500	4	-0.001930
(707,707)(212945,212945)(209000,214000)	AgamP4_3L	211500	2	-0.000397
(707,707)(212945,212945)(210000,215000)	AgamP4_3L	212500	2	-0.000397
(707,712)(212945,215924)(211000,216000)	AgamP4_3L	213500	7	-0.000339
(707,716)(212945,216780)(212000,217000)	AgamP4_3L	214500	11	0.003242
(708,720)(215091,217780)(213000,218000)	AgamP4_3L	215500	14	0.004887
(708,733)(215091,218982)(214000,219000)	AgamP4_3L	216500	27	0.008785
(708,734)(215091,219001)(215000,220000)	AgamP4_3L	217500	28	0.008543
(713,734)(216075,219001)(216000,221000)	AgamP4_3L	218500	23	0.010428
