region	chr	midPos	Nsites
(4,73)(1206,5977)(1000,6000)	AgamP4_2L	3500	71	0.003350
(19,83)(2001,6890)(2000,7000)	AgamP4_2L	4500	66	0.003478
(39,90)(3089,7996)(3000,8000)	AgamP4_2L	5500	53	0.003447
(52,103)(4175,8999)(4000,9000)	AgamP4_2L	6500	53	0.001670
(67,116)(5519,9874)(5000,10000)	AgamP4_2L	7500	51	0.002573
(74,124)(6233,10674)(6000,11000)	AgamP4_2L	8500	52	0.003543
(84,124)(7741,10674)(7000,12000)	AgamP4_2L	9500	42	0.003980
(91,124)(8125,10674)(8000,13000)	AgamP4_2L	10500	35	0.004510
(104,139)(9011,13997)(9000,14000)	AgamP4_2L	11500	37	0.005430
(117,143)(10011,14976)(10000,15000)	AgamP4_2L	12500	28	0.003783
(125,157)(13217,15973)(11000,16000)	AgamP4_2L	13500	34	0.004193
(125,168)(13217,16992)(12000,17000)	AgamP4_2L	14500	45	0.004706
(125,177)(13217,17897)(13000,18000)	AgamP4_2L	15500	54	0.003812
(140,189)(14614,18905)(14000,19000)	AgamP4_2L	16500	51	0.002908
(144,192)(15101,19383)(15000,20000)	AgamP4_2L	17500	50	0.004172
(158,192)(16042,19383)(16000,21000)	AgamP4_2L	18500	36	0.003428
(169,192)(17207,19383)(17000,22000)	AgamP4_2L	19500	25	0.002017
(178,192)(18148,19383)(18000,23000)	AgamP4_2L	20500	16	0.003884
(190,192)(19036,19383)(19000,24000)	AgamP4_2L	21500	4	0.021352
(193,202)(24386,24871)(20000,25000)	AgamP4_2L	22500	11	0.015971
(193,210)(24386,25930)(21000,26000)	AgamP4_2L	23500	19	0.007244
(193,220)(24386,26893)(22000,27000)	AgamP4_2L	24500	29	0.004502
(193,223)(24386,27407)(23000,28000)	AgamP4_2L	25500	32	0.003709
(193,223)(24386,27407)(24000,29000)	AgamP4_2L	26500	32	0.003709
(203,223)(25105,27407)(25000,30000)	AgamP4_2L	27500	22	-0.001532
(211,224)(26010,30680)(26000,31000)	AgamP4_2L	28500	15	0.000139
(221,226)(27093,31591)(27000,32000)	AgamP4_2L	29500	7	0.001862
(224,226)(30680,31591)(28000,33000)	AgamP4_2L	30500	4	0.007961
(224,226)(30680,31591)(29000,34000)	AgamP4_2L	31500	4	0.007961
(224,226)(30680,31591)(30000,35000)	AgamP4_2L	32500	4	0.007961
(225,232)(31362,35853)(31000,36000)	AgamP4_2L	33500	9	0.005115
(227,236)(35382,36641)(32000,37000)	AgamP4_2L	34500	11	0.008051
(227,236)(35382,36641)(33000,38000)	AgamP4_2L	35500	11	0.008051
(227,236)(35382,36641)(34000,39000)	AgamP4_2L	36500	11	0.008051
(227,236)(35382,36641)(35000,40000)	AgamP4_2L	37500	11	0.008051
(233,236)(36168,36641)(36000,41000)	AgamP4_2L	38500	5	0.010269
(237,237)(42410,42410)(38000,43000)	AgamP4_2L	40500	2	-0.002066
(237,256)(42410,43906)(39000,44000)	AgamP4_2L	41500	21	0.010716
(237,259)(42410,44906)(40000,45000)	AgamP4_2L	42500	24	0.009434
(237,285)(42410,45977)(41000,46000)	AgamP4_2L	43500	50	0.007341
(237,286)(42410,46038)(42000,47000)	AgamP4_2L	44500	51	0.007079
(238,286)(43029,46038)(43000,48000)	AgamP4_2L	45500	50	0.007179
(257,292)(44006,48835)(44000,49000)	AgamP4_2L	46500	37	0.004988
(260,307)(45034,49975)(45000,50000)	AgamP4_2L	47500	49	0.005371
(286,320)(46038,50989)(46000,51000)	AgamP4_2L	48500	36	0.002933
(287,330)(48457,51941)(47000,52000)	AgamP4_2L	49500	45	0.001730
(287,344)(48457,52998)(48000,53000)	AgamP4_2L	50500	59	0.004244
(293,358)(49102,53971)(49000,54000)	AgamP4_2L	51500	67	0.003213
(308,370)(50001,54947)(50000,55000)	AgamP4_2L	52500	64	0.004905
(321,379)(51165,55899)(51000,56000)	AgamP4_2L	53500	60	0.005562
(331,391)(52162,56912)(52000,57000)	AgamP4_2L	54500	62	0.006444
(345,414)(53071,57893)(53000,58000)	AgamP4_2L	55500	71	0.003436
(359,426)(54061,58956)(54000,59000)	AgamP4_2L	56500	69	0.004213
(371,434)(55076,59826)(55000,60000)	AgamP4_2L	57500	65	0.001689
(380,447)(56020,60979)(56000,61000)	AgamP4_2L	58500	69	0.001355
(392,459)(57173,61855)(57000,62000)	AgamP4_2L	59500	69	0.000463
(415,469)(58107,62999)(58000,63000)	AgamP4_2L	60500	56	0.002580
(427,474)(59037,63956)(59000,64000)	AgamP4_2L	61500	49	0.003821
(435,483)(60112,64941)(60000,65000)	AgamP4_2L	62500	50	0.004668
(448,494)(61235,65840)(61000,66000)	AgamP4_2L	63500	48	0.008071
(460,500)(62031,66964)(62000,67000)	AgamP4_2L	64500	42	0.010675
(470,515)(63714,67971)(63000,68000)	AgamP4_2L	65500	47	0.008433
(475,529)(64044,68880)(64000,69000)	AgamP4_2L	66500	56	0.008185
(484,546)(65170,69968)(65000,70000)	AgamP4_2L	67500	64	0.007309
(495,568)(66076,70880)(66000,71000)	AgamP4_2L	68500	75	0.006607
(501,583)(67000,71944)(67000,72000)	AgamP4_2L	69500	84	0.005581
(516,599)(68007,72967)(68000,73000)	AgamP4_2L	70500	85	0.004081
(530,610)(69075,73938)(69000,74000)	AgamP4_2L	71500	82	0.001775
(547,628)(70090,74992)(70000,75000)	AgamP4_2L	72500	83	0.001213
(569,642)(71035,75999)(71000,76000)	AgamP4_2L	73500	75	0.000747
(584,652)(72057,76904)(72000,77000)	AgamP4_2L	74500	70	0.001010
(600,674)(73013,77985)(73000,78000)	AgamP4_2L	75500	76	0.003140
(611,699)(74089,78969)(74000,79000)	AgamP4_2L	76500	90	0.003239
(629,703)(75044,79235)(75000,80000)	AgamP4_2L	77500	76	0.003467
(643,703)(76028,79235)(76000,81000)	AgamP4_2L	78500	62	0.002639
(653,730)(77249,81995)(77000,82000)	AgamP4_2L	79500	79	0.001630
(675,758)(78043,82997)(78000,83000)	AgamP4_2L	80500	85	-0.001597
(700,793)(79131,83975)(79000,84000)	AgamP4_2L	81500	95	-0.003222
(704,812)(81076,84931)(80000,85000)	AgamP4_2L	82500	110	-0.003362
(704,834)(81076,85980)(81000,86000)	AgamP4_2L	83500	132	-0.002997
(731,860)(82002,86983)(82000,87000)	AgamP4_2L	84500	131	-0.003183
(759,888)(83041,87929)(83000,88000)	AgamP4_2L	85500	131	-0.002155
(794,910)(84034,88987)(84000,89000)	AgamP4_2L	86500	118	-0.001549
(813,920)(85018,89559)(85000,90000)	AgamP4_2L	87500	109	-0.001053
(835,920)(86078,89559)(86000,91000)	AgamP4_2L	88500	87	-0.001000
(861,920)(87002,89559)(87000,92000)	AgamP4_2L	89500	61	-0.000733
(889,920)(88076,89559)(88000,93000)	AgamP4_2L	90500	33	-0.001741
