region	chr	midPos	Nsites
(2,16)(3508,6776)(3000,8000)	AgamP4_X	5500	16	0.007005
(3,32)(4144,8921)(4000,9000)	AgamP4_X	6500	31	0.015813
(14,39)(5764,9755)(5000,10000)	AgamP4_X	7500	27	0.014727
(16,44)(6776,10806)(6000,11000)	AgamP4_X	8500	30	0.018674
(17,52)(8090,11973)(7000,12000)	AgamP4_X	9500	37	0.022488
(17,55)(8090,12913)(8000,13000)	AgamP4_X	10500	40	0.022589
(33,57)(9652,13426)(9000,14000)	AgamP4_X	11500	26	0.023908
(40,58)(10033,14329)(10000,15000)	AgamP4_X	12500	20	0.031003
(45,61)(11035,15981)(11000,16000)	AgamP4_X	13500	18	0.029376
(53,65)(12030,16758)(12000,17000)	AgamP4_X	14500	14	0.026180
(56,76)(13312,17344)(13000,18000)	AgamP4_X	15500	22	0.011351
(58,79)(14329,18520)(14000,19000)	AgamP4_X	16500	23	0.017129
(59,99)(15382,19927)(15000,20000)	AgamP4_X	17500	42	0.016252
(62,100)(16115,20655)(16000,21000)	AgamP4_X	18500	40	0.014818
(66,107)(17097,21860)(17000,22000)	AgamP4_X	19500	43	0.013793
(77,111)(18153,22098)(18000,23000)	AgamP4_X	20500	36	0.016461
(80,118)(19321,23917)(19000,24000)	AgamP4_X	21500	40	0.014922
(100,120)(20655,24185)(20000,25000)	AgamP4_X	22500	22	0.013736
(101,125)(21098,25261)(21000,26000)	AgamP4_X	23500	26	0.011707
(108,130)(22047,26865)(22000,27000)	AgamP4_X	24500	24	0.011214
(112,147)(23269,27884)(23000,28000)	AgamP4_X	25500	37	0.010923
(119,147)(24056,27884)(24000,29000)	AgamP4_X	26500	30	0.007644
(121,151)(25068,29790)(25000,30000)	AgamP4_X	27500	32	0.006869
(126,168)(26136,30986)(26000,31000)	AgamP4_X	28500	44	0.007000
(131,180)(27180,31762)(27000,32000)	AgamP4_X	29500	51	0.007835
(148,182)(29090,32864)(28000,33000)	AgamP4_X	30500	36	0.011357
(148,184)(29090,33231)(29000,34000)	AgamP4_X	31500	38	0.010849
(152,187)(30018,34697)(30000,35000)	AgamP4_X	32500	37	0.011601
(169,191)(31373,35947)(31000,36000)	AgamP4_X	33500	24	0.015169
(181,191)(32188,35947)(32000,37000)	AgamP4_X	34500	12	0.014442
(183,215)(33204,37554)(33000,38000)	AgamP4_X	35500	34	0.006217
(185,217)(34167,38860)(34000,39000)	AgamP4_X	36500	34	0.006059
(188,218)(35055,39924)(35000,40000)	AgamP4_X	37500	32	0.006057
(192,220)(37018,40497)(36000,41000)	AgamP4_X	38500	30	0.007273
(192,221)(37018,41529)(37000,42000)	AgamP4_X	39500	31	0.007946
(216,226)(38488,42865)(38000,43000)	AgamP4_X	40500	12	0.018812
(218,238)(39924,43831)(39000,44000)	AgamP4_X	41500	22	0.022974
(219,241)(40411,44812)(40000,45000)	AgamP4_X	42500	24	0.021340
(221,243)(41529,45832)(41000,46000)	AgamP4_X	43500	24	0.021338
(222,252)(42335,46875)(42000,47000)	AgamP4_X	44500	32	0.017913
(227,267)(43090,47973)(43000,48000)	AgamP4_X	45500	42	0.012585
(239,269)(44210,48858)(44000,49000)	AgamP4_X	46500	32	0.009018
(242,271)(45067,49199)(45000,50000)	AgamP4_X	47500	31	0.009096
(244,274)(46219,50939)(46000,51000)	AgamP4_X	48500	32	0.009339
(253,274)(47070,50939)(47000,52000)	AgamP4_X	49500	23	0.008197
(268,281)(48568,52925)(48000,53000)	AgamP4_X	50500	15	0.008710
(270,290)(49193,53747)(49000,54000)	AgamP4_X	51500	22	0.010847
(272,293)(50571,54495)(50000,55000)	AgamP4_X	52500	23	0.011402
(275,296)(52140,55824)(51000,56000)	AgamP4_X	53500	23	0.008917
(275,302)(52140,56964)(52000,57000)	AgamP4_X	54500	29	0.010621
(282,302)(53545,56964)(53000,58000)	AgamP4_X	55500	22	0.012107
(291,305)(54082,58806)(54000,59000)	AgamP4_X	56500	16	0.021118
(294,312)(55125,59995)(55000,60000)	AgamP4_X	57500	20	0.020508
(297,322)(56346,60873)(56000,61000)	AgamP4_X	58500	27	0.020010
(303,329)(58693,61875)(57000,62000)	AgamP4_X	59500	28	0.017159
(303,340)(58693,62965)(58000,63000)	AgamP4_X	60500	39	0.016224
(306,349)(59285,63994)(59000,64000)	AgamP4_X	61500	45	0.013751
(313,354)(60033,64911)(60000,65000)	AgamP4_X	62500	43	0.013330
(323,366)(61091,65964)(61000,66000)	AgamP4_X	63500	45	0.014859
(330,372)(62071,66632)(62000,67000)	AgamP4_X	64500	44	0.017736
(341,379)(63160,67945)(63000,68000)	AgamP4_X	65500	40	0.017517
(350,388)(64509,68830)(64000,69000)	AgamP4_X	66500	40	0.014762
(355,397)(65033,69978)(65000,70000)	AgamP4_X	67500	44	0.013148
(367,404)(66071,70739)(66000,71000)	AgamP4_X	68500	39	0.012035
(373,413)(67123,71967)(67000,72000)	AgamP4_X	69500	42	0.009809
(380,425)(68253,72841)(68000,73000)	AgamP4_X	70500	47	0.007201
(389,430)(69155,73864)(69000,74000)	AgamP4_X	71500	43	0.008325
(398,433)(70012,74433)(70000,75000)	AgamP4_X	72500	37	0.013572
(405,433)(71003,74433)(71000,76000)	AgamP4_X	73500	30	0.012947
(414,456)(72010,76691)(72000,77000)	AgamP4_X	74500	44	0.011251
(426,460)(73103,77378)(73000,78000)	AgamP4_X	75500	36	0.014937
(431,462)(74183,78629)(74000,79000)	AgamP4_X	76500	33	0.014669
(434,472)(76001,79999)(75000,80000)	AgamP4_X	77500	40	0.007517
(434,477)(76001,80865)(76000,81000)	AgamP4_X	78500	45	0.012008
(457,480)(77090,81844)(77000,82000)	AgamP4_X	79500	25	0.012712
(461,484)(78016,82917)(78000,83000)	AgamP4_X	80500	25	0.011535
(463,497)(79008,83840)(79000,84000)	AgamP4_X	81500	36	0.009936
(473,497)(80009,83840)(80000,85000)	AgamP4_X	82500	26	0.012073
(478,498)(81126,85695)(81000,86000)	AgamP4_X	83500	22	0.003711
(481,499)(82071,86728)(82000,87000)	AgamP4_X	84500	20	0.004219
(485,499)(83216,86728)(83000,88000)	AgamP4_X	85500	16	0.006162
(498,503)(85695,88955)(84000,89000)	AgamP4_X	86500	7	0.019287
(498,505)(85695,89706)(85000,90000)	AgamP4_X	87500	9	0.015429
(499,506)(86728,90589)(86000,91000)	AgamP4_X	88500	9	0.014717
(500,508)(88510,91687)(87000,92000)	AgamP4_X	89500	10	0.035325
(500,513)(88510,92974)(88000,93000)	AgamP4_X	90500	15	0.028922
(504,518)(89141,93767)(89000,94000)	AgamP4_X	91500	16	0.033646
(506,521)(90589,94886)(90000,95000)	AgamP4_X	92500	17	0.036411
(507,528)(91624,95695)(91000,96000)	AgamP4_X	93500	23	0.029456
(509,533)(92763,96700)(92000,97000)	AgamP4_X	94500	26	0.018856
(514,537)(93126,97600)(93000,98000)	AgamP4_X	95500	25	0.018700
(519,543)(94093,98801)(94000,99000)	AgamP4_X	96500	26	0.012568
(522,551)(95208,99822)(95000,100000)	AgamP4_X	97500	31	0.009429
(529,554)(96259,100918)(96000,101000)	AgamP4_X	98500	27	0.023329
(534,557)(97279,101855)(97000,102000)	AgamP4_X	99500	25	0.026487
(538,561)(98239,102896)(98000,103000)	AgamP4_X	100500	25	0.027198
(544,564)(99278,103898)(99000,104000)	AgamP4_X	101500	22	0.036578
(552,570)(100351,104648)(100000,105000)	AgamP4_X	102500	20	0.035287
(555,578)(101416,105843)(101000,106000)	AgamP4_X	103500	25	0.019273
(558,586)(102107,106983)(102000,107000)	AgamP4_X	104500	30	0.019040
(562,588)(103085,107472)(103000,108000)	AgamP4_X	105500	28	0.018341
