region	chr	midPos	Nsites
(69,382)(10041,59780)(10000,60000)	AgamP4_2R	35000	315	0.003550
(131,435)(20982,68667)(20000,70000)	AgamP4_2R	45000	306	0.003034
(163,539)(30542,79898)(30000,80000)	AgamP4_2R	55000	378	0.002921
(242,611)(40519,89920)(40000,90000)	AgamP4_2R	65000	371	0.002826
(305,742)(50389,99974)(50000,100000)	AgamP4_2R	75000	439	0.002445
(383,858)(60097,109776)(60000,110000)	AgamP4_2R	85000	477	0.003621
(436,955)(70073,119992)(70000,120000)	AgamP4_2R	95000	521	0.003996
(540,1079)(80202,129908)(80000,130000)	AgamP4_2R	105000	541	0.003296
(612,1170)(90089,139772)(90000,140000)	AgamP4_2R	115000	560	0.002551
(743,1287)(100010,149852)(100000,150000)	AgamP4_2R	125000	546	0.002320
(859,1373)(110322,159952)(110000,160000)	AgamP4_2R	135000	516	0.002478
(956,1493)(120099,169560)(120000,170000)	AgamP4_2R	145000	539	0.003874
(1080,1577)(130083,179711)(130000,180000)	AgamP4_2R	155000	499	0.008626
(1171,1640)(140124,189600)(140000,190000)	AgamP4_2R	165000	471	0.009904
(1288,1707)(150120,199457)(150000,200000)	AgamP4_2R	175000	421	0.012176
(1374,1754)(160104,209674)(160000,210000)	AgamP4_2R	185000	382	0.012417
(1494,1832)(170119,219872)(170000,220000)	AgamP4_2R	195000	340	0.010669
(1578,1910)(180531,229989)(180000,230000)	AgamP4_2R	205000	334	0.004673
(1641,2042)(190213,239600)(190000,240000)	AgamP4_2R	215000	403	0.005603
(1708,2167)(200217,249961)(200000,250000)	AgamP4_2R	225000	461	0.004711
(1755,2296)(210158,259986)(210000,260000)	AgamP4_2R	235000	543	0.005828
(1833,2452)(220176,269980)(220000,270000)	AgamP4_2R	245000	621	0.006222
(1911,2647)(230018,279895)(230000,280000)	AgamP4_2R	255000	738	0.006967
(2043,2801)(240207,289859)(240000,290000)	AgamP4_2R	265000	760	0.008086
(2168,2992)(250108,299937)(250000,300000)	AgamP4_2R	275000	826	0.008255
(2297,3194)(260169,309977)(260000,310000)	AgamP4_2R	285000	899	0.007795
(2453,3332)(270086,319989)(270000,320000)	AgamP4_2R	295000	881	0.009020
(2648,3473)(280040,329259)(280000,330000)	AgamP4_2R	305000	827	0.009099
(2802,3609)(290043,339974)(290000,340000)	AgamP4_2R	315000	809	0.008342
(2993,3783)(300023,349807)(300000,350000)	AgamP4_2R	325000	792	0.008845
(3195,3939)(310006,359994)(310000,360000)	AgamP4_2R	335000	746	0.009244
(3333,4093)(320001,369967)(320000,370000)	AgamP4_2R	345000	762	0.008756
(3474,4257)(330084,379982)(330000,380000)	AgamP4_2R	355000	785	0.008960
(3610,4401)(340108,389978)(340000,390000)	AgamP4_2R	365000	793	0.009024
(3784,4566)(350231,399980)(350000,400000)	AgamP4_2R	375000	784	0.007777
(3940,4758)(360012,409953)(360000,410000)	AgamP4_2R	385000	820	0.007212
(4094,4973)(370025,419966)(370000,420000)	AgamP4_2R	395000	881	0.008397
(4258,5129)(380082,429975)(380000,430000)	AgamP4_2R	405000	873	0.007763
(4402,5354)(390043,439970)(390000,440000)	AgamP4_2R	415000	954	0.008548
(4567,5562)(400002,449996)(400000,450000)	AgamP4_2R	425000	997	0.009462
(4759,5725)(410081,459958)(410000,460000)	AgamP4_2R	435000	968	0.010967
(4974,5940)(420037,469838)(420000,470000)	AgamP4_2R	445000	968	0.012698
(5130,6146)(430008,479911)(430000,480000)	AgamP4_2R	455000	1018	0.013018
(5355,6329)(440003,489942)(440000,490000)	AgamP4_2R	465000	976	0.012736
(5563,6560)(450008,499979)(450000,500000)	AgamP4_2R	475000	999	0.012826
(5726,6748)(460156,509919)(460000,510000)	AgamP4_2R	485000	1024	0.012165
(5941,6974)(470015,519884)(470000,520000)	AgamP4_2R	495000	1035	0.009326
(6147,7173)(480044,529890)(480000,530000)	AgamP4_2R	505000	1028	0.008457
(6330,7412)(490001,539955)(490000,540000)	AgamP4_2R	515000	1084	0.009001
(6561,7611)(500024,549999)(500000,550000)	AgamP4_2R	525000	1052	0.009065
(6749,7841)(510003,559952)(510000,560000)	AgamP4_2R	535000	1094	0.008286
(6975,8026)(520061,569999)(520000,570000)	AgamP4_2R	545000	1053	0.008423
(7174,8223)(530098,579984)(530000,580000)	AgamP4_2R	555000	1051	0.008902
(7413,8391)(540022,589827)(540000,590000)	AgamP4_2R	565000	980	0.008002
(7612,8652)(550044,599984)(550000,600000)	AgamP4_2R	575000	1042	0.008152
(7842,8920)(560009,609925)(560000,610000)	AgamP4_2R	585000	1080	0.008728
(8027,9146)(570074,619766)(570000,620000)	AgamP4_2R	595000	1121	0.008462
(8224,9337)(580004,629997)(580000,630000)	AgamP4_2R	605000	1115	0.009073
(8392,9563)(590133,639991)(590000,640000)	AgamP4_2R	615000	1173	0.009875
(8653,9766)(600041,649963)(600000,650000)	AgamP4_2R	625000	1115	0.010400
(8921,9947)(610000,659922)(610000,660000)	AgamP4_2R	635000	1028	0.010381
(9147,10168)(620026,669947)(620000,670000)	AgamP4_2R	645000	1023	0.010588
(9338,10449)(630003,679998)(630000,680000)	AgamP4_2R	655000	1113	0.012022
(9564,10778)(640027,689946)(640000,690000)	AgamP4_2R	665000	1216	0.011965
(9767,11110)(650002,699896)(650000,700000)	AgamP4_2R	675000	1345	0.011987
(9948,11247)(660195,708328)(660000,710000)	AgamP4_2R	685000	1301	0.012026
(10169,11476)(670028,719983)(670000,720000)	AgamP4_2R	695000	1309	0.012807
(10450,11758)(680013,729989)(680000,730000)	AgamP4_2R	705000	1310	0.012600
(10779,12025)(690041,739887)(690000,740000)	AgamP4_2R	715000	1248	0.013104
(11111,12406)(700008,749996)(700000,750000)	AgamP4_2R	725000	1297	0.013404
(11248,12767)(710305,759942)(710000,760000)	AgamP4_2R	735000	1521	0.013152
(11477,13111)(720005,769981)(720000,770000)	AgamP4_2R	745000	1636	0.012509
(11759,13444)(730017,779941)(730000,780000)	AgamP4_2R	755000	1687	0.011716
(12026,13787)(740008,789919)(740000,790000)	AgamP4_2R	765000	1763	0.011760
(12407,14117)(750012,799995)(750000,800000)	AgamP4_2R	775000	1712	0.011295
(12768,14442)(760028,809980)(760000,810000)	AgamP4_2R	785000	1676	0.011260
(13112,14771)(770092,819968)(770000,820000)	AgamP4_2R	795000	1661	0.012453
(13445,15110)(780039,829953)(780000,830000)	AgamP4_2R	805000	1667	0.012301
(13788,15356)(790001,839004)(790000,840000)	AgamP4_2R	815000	1570	0.012659
(14118,15418)(800018,849994)(800000,850000)	AgamP4_2R	825000	1302	0.012950
(14443,15630)(810012,857862)(810000,860000)	AgamP4_2R	835000	1189	0.013829
(14772,15842)(820034,869965)(820000,870000)	AgamP4_2R	845000	1072	0.012118
(15111,16069)(830034,879895)(830000,880000)	AgamP4_2R	855000	960	0.012316
(15357,16302)(847531,889973)(840000,890000)	AgamP4_2R	865000	947	0.010925
(15419,16549)(850090,899936)(850000,900000)	AgamP4_2R	875000	1132	0.011320
(15631,16781)(860566,909929)(860000,910000)	AgamP4_2R	885000	1152	0.010908
(15843,17098)(870087,919996)(870000,920000)	AgamP4_2R	895000	1257	0.010770
