region	chr	midPos	Nsites
(4,21)(1392,5973)(1000,6000)	AgamP4_X	3500	19	0.001322
(5,26)(3377,6776)(2000,7000)	AgamP4_X	4500	23	0.002806
(5,28)(3377,7935)(3000,8000)	AgamP4_X	5500	25	0.003543
(10,45)(4144,8921)(4000,9000)	AgamP4_X	6500	37	0.004235
(19,51)(5274,9755)(5000,10000)	AgamP4_X	7500	34	0.005154
(22,58)(6195,10882)(6000,11000)	AgamP4_X	8500	38	0.006883
(27,66)(7929,11973)(7000,12000)	AgamP4_X	9500	41	0.009391
(29,68)(8090,12913)(8000,13000)	AgamP4_X	10500	41	0.008985
(46,71)(9100,13510)(9000,14000)	AgamP4_X	11500	27	0.012795
(52,73)(10092,14792)(10000,15000)	AgamP4_X	12500	23	0.014638
(59,75)(11035,15637)(11000,16000)	AgamP4_X	13500	18	0.014700
(67,80)(12456,16758)(12000,17000)	AgamP4_X	14500	15	0.007105
(69,92)(13150,17344)(13000,18000)	AgamP4_X	15500	25	0.014422
(72,96)(14324,18520)(14000,19000)	AgamP4_X	16500	26	0.017500
(74,117)(15382,19927)(15000,20000)	AgamP4_X	17500	45	0.016660
(76,119)(16115,20655)(16000,21000)	AgamP4_X	18500	45	0.017023
(81,124)(17104,21860)(17000,22000)	AgamP4_X	19500	45	0.021869
(93,128)(18153,22098)(18000,23000)	AgamP4_X	20500	37	0.025020
(97,130)(19321,23781)(19000,24000)	AgamP4_X	21500	35	0.024612
(118,132)(20384,24711)(20000,25000)	AgamP4_X	22500	16	0.036405
(120,138)(21098,25681)(21000,26000)	AgamP4_X	23500	20	0.037794
(125,141)(22047,26865)(22000,27000)	AgamP4_X	24500	18	0.033046
(129,159)(23336,27970)(23000,28000)	AgamP4_X	25500	32	0.019111
(131,159)(24185,27970)(24000,29000)	AgamP4_X	26500	30	0.018427
(133,163)(25068,29863)(25000,30000)	AgamP4_X	27500	32	0.019824
(139,180)(26136,30970)(26000,31000)	AgamP4_X	28500	43	0.009896
(142,194)(27180,31762)(27000,32000)	AgamP4_X	29500	54	0.007157
(160,196)(29090,32864)(28000,33000)	AgamP4_X	30500	38	0.005637
(160,197)(29090,33204)(29000,34000)	AgamP4_X	31500	39	0.005691
(164,201)(30018,34993)(30000,35000)	AgamP4_X	32500	39	0.008599
(181,207)(31373,35983)(31000,36000)	AgamP4_X	33500	28	0.014385
(195,207)(32169,35983)(32000,37000)	AgamP4_X	34500	14	0.026691
(197,227)(33204,37554)(33000,38000)	AgamP4_X	35500	32	0.013343
(198,227)(34167,37554)(34000,39000)	AgamP4_X	36500	31	0.013432
(202,228)(35210,39924)(35000,40000)	AgamP4_X	37500	28	0.006425
(208,233)(37018,40542)(36000,41000)	AgamP4_X	38500	27	0.010470
(208,234)(37018,41529)(37000,42000)	AgamP4_X	39500	28	0.012965
(228,239)(39924,42865)(38000,43000)	AgamP4_X	40500	13	0.041139
(228,252)(39924,43831)(39000,44000)	AgamP4_X	41500	26	0.044392
(229,255)(40295,44951)(40000,45000)	AgamP4_X	42500	28	0.042777
(234,258)(41529,45598)(41000,46000)	AgamP4_X	43500	26	0.042540
(235,265)(42288,46875)(42000,47000)	AgamP4_X	44500	32	0.033540
