region	chr	midPos	Nsites
(2,15)(3508,5973)(1000,6000)	AgamP4_X	3500	15	0.005567
(2,16)(3508,6776)(2000,7000)	AgamP4_X	4500	16	0.004718
(2,17)(3508,7935)(3000,8000)	AgamP4_X	5500	17	0.005065
(4,36)(4144,8921)(4000,9000)	AgamP4_X	6500	34	0.014337
(14,43)(5764,9755)(5000,10000)	AgamP4_X	7500	31	0.014828
(16,51)(6776,10806)(6000,11000)	AgamP4_X	8500	37	0.013523
(17,58)(7935,11973)(7000,12000)	AgamP4_X	9500	43	0.011304
(18,61)(8090,12913)(8000,13000)	AgamP4_X	10500	45	0.011292
(37,64)(9100,13510)(9000,14000)	AgamP4_X	11500	29	0.005063
(44,67)(10033,14792)(10000,15000)	AgamP4_X	12500	25	0.004197
(52,70)(11035,15981)(11000,16000)	AgamP4_X	13500	20	0.002844
(59,75)(12030,16758)(12000,17000)	AgamP4_X	14500	18	0.007633
(62,87)(13150,17344)(13000,18000)	AgamP4_X	15500	27	0.001451
(65,91)(14324,18730)(14000,19000)	AgamP4_X	16500	28	0.001668
(68,110)(15382,19927)(15000,20000)	AgamP4_X	17500	44	0.003992
(71,111)(16115,20655)(16000,21000)	AgamP4_X	18500	42	0.004143
(76,118)(17097,21860)(17000,22000)	AgamP4_X	19500	44	0.002978
(88,124)(18153,22745)(18000,23000)	AgamP4_X	20500	38	0.004491
(92,132)(19321,23917)(19000,24000)	AgamP4_X	21500	42	0.004159
(111,135)(20655,24711)(20000,25000)	AgamP4_X	22500	26	0.002043
(112,139)(21098,25188)(21000,26000)	AgamP4_X	23500	29	0.003532
(119,143)(22047,26865)(22000,27000)	AgamP4_X	24500	26	0.006188
(125,159)(23269,27884)(23000,28000)	AgamP4_X	25500	36	0.008473
(133,159)(24056,27884)(24000,29000)	AgamP4_X	26500	28	0.009608
(136,165)(25068,29843)(25000,30000)	AgamP4_X	27500	31	0.007457
(140,181)(26136,30982)(26000,31000)	AgamP4_X	28500	43	0.006893
(144,194)(27180,31762)(27000,32000)	AgamP4_X	29500	52	0.008481
(160,195)(29090,32864)(28000,33000)	AgamP4_X	30500	37	0.008137
(160,197)(29090,33231)(29000,34000)	AgamP4_X	31500	39	0.007803
(166,202)(30018,34993)(30000,35000)	AgamP4_X	32500	38	0.008448
(182,209)(31373,35983)(31000,36000)	AgamP4_X	33500	29	0.007361
(195,210)(32864,36373)(32000,37000)	AgamP4_X	34500	17	-0.000223
(196,231)(33204,37554)(33000,38000)	AgamP4_X	35500	37	0.005563
(198,233)(34167,38860)(34000,39000)	AgamP4_X	36500	37	0.005619
(203,234)(35055,39924)(35000,40000)	AgamP4_X	37500	33	0.005673
(210,236)(36373,40497)(36000,41000)	AgamP4_X	38500	28	0.008130
(211,237)(37018,41529)(37000,42000)	AgamP4_X	39500	28	0.007579
(232,243)(38488,42865)(38000,43000)	AgamP4_X	40500	13	0.001416
(234,256)(39924,43831)(39000,44000)	AgamP4_X	41500	24	0.001139
(235,261)(40411,44951)(40000,45000)	AgamP4_X	42500	28	0.005950
(237,263)(41529,45074)(41000,46000)	AgamP4_X	43500	28	0.004382
(238,273)(42288,46875)(42000,47000)	AgamP4_X	44500	37	0.011818
(244,290)(43090,47973)(43000,48000)	AgamP4_X	45500	48	0.010086
(257,293)(44020,48965)(44000,49000)	AgamP4_X	46500	38	0.012842
(262,296)(45067,49199)(45000,50000)	AgamP4_X	47500	36	0.009343
(264,298)(46219,50939)(46000,51000)	AgamP4_X	48500	36	0.009255
(274,300)(47070,51472)(47000,52000)	AgamP4_X	49500	28	0.000356
(291,308)(48568,52925)(48000,53000)	AgamP4_X	50500	19	0.002617
(294,315)(49185,53747)(49000,54000)	AgamP4_X	51500	23	0.004420
(297,318)(50619,54495)(50000,55000)	AgamP4_X	52500	23	0.005350
(299,322)(51251,55824)(51000,56000)	AgamP4_X	53500	25	0.006091
(301,331)(52140,56964)(52000,57000)	AgamP4_X	54500	32	0.007655
(309,334)(53535,57677)(53000,58000)	AgamP4_X	55500	27	0.007677
(316,339)(54082,58806)(54000,59000)	AgamP4_X	56500	25	0.009990
(319,345)(55117,59995)(55000,60000)	AgamP4_X	57500	28	0.010671
(323,355)(56208,60873)(56000,61000)	AgamP4_X	58500	34	0.012214
(332,361)(57448,61875)(57000,62000)	AgamP4_X	59500	31	0.010794
(335,373)(58468,62965)(58000,63000)	AgamP4_X	60500	40	0.010519
(340,381)(59285,63994)(59000,64000)	AgamP4_X	61500	43	0.007865
(346,386)(60033,64911)(60000,65000)	AgamP4_X	62500	42	0.006981
(356,397)(61091,65964)(61000,66000)	AgamP4_X	63500	43	0.005865
(362,404)(62071,66675)(62000,67000)	AgamP4_X	64500	44	0.006982
(374,407)(63160,67521)(63000,68000)	AgamP4_X	65500	35	0.005800
(382,416)(64509,68830)(64000,69000)	AgamP4_X	66500	36	0.006531
(387,424)(65033,69978)(65000,70000)	AgamP4_X	67500	39	0.005649
(398,431)(66071,70739)(66000,71000)	AgamP4_X	68500	35	0.005906
(405,438)(67193,71887)(67000,72000)	AgamP4_X	69500	35	0.004545
(408,450)(68253,72841)(68000,73000)	AgamP4_X	70500	44	0.004171
(417,454)(69155,73864)(69000,74000)	AgamP4_X	71500	39	0.004781
(425,457)(70012,74433)(70000,75000)	AgamP4_X	72500	34	0.006171
(432,459)(71003,75856)(71000,76000)	AgamP4_X	73500	29	0.004471
(439,482)(72010,76691)(72000,77000)	AgamP4_X	74500	45	0.005158
(451,487)(73103,77378)(73000,78000)	AgamP4_X	75500	38	0.006002
(455,491)(74183,78629)(74000,79000)	AgamP4_X	76500	38	0.006572
(458,499)(75258,79999)(75000,80000)	AgamP4_X	77500	43	0.006799
(460,505)(76001,80865)(76000,81000)	AgamP4_X	78500	47	0.006710
(483,507)(77090,81844)(77000,82000)	AgamP4_X	79500	26	0.006842
(488,511)(78016,82917)(78000,83000)	AgamP4_X	80500	25	0.006298
(492,523)(79008,83840)(79000,84000)	AgamP4_X	81500	33	0.005289
(500,523)(80009,83840)(80000,85000)	AgamP4_X	82500	25	0.003953
(506,524)(81513,85695)(81000,86000)	AgamP4_X	83500	20	0.004264
(508,525)(82071,86728)(82000,87000)	AgamP4_X	84500	19	0.003582
(512,525)(83216,86728)(83000,88000)	AgamP4_X	85500	15	0.005041
(524,531)(85695,88955)(84000,89000)	AgamP4_X	86500	9	0.005418
(524,533)(85695,89706)(85000,90000)	AgamP4_X	87500	11	0.004220
(525,534)(86728,90589)(86000,91000)	AgamP4_X	88500	11	0.002287
(526,536)(88510,91687)(87000,92000)	AgamP4_X	89500	12	0.004550
