region	chr	midPos	Nsites
(5,80)(1206,5977)(1000,6000)	AgamP4_2L	3500	77	0.024896
(23,91)(2001,6907)(2000,7000)	AgamP4_2L	4500	70	0.023962
(46,99)(3089,7996)(3000,8000)	AgamP4_2L	5500	55	0.021596
(59,112)(4175,8999)(4000,9000)	AgamP4_2L	6500	55	0.014688
(75,130)(5519,9880)(5000,10000)	AgamP4_2L	7500	57	0.013187
(81,141)(6233,10674)(6000,11000)	AgamP4_2L	8500	62	0.014598
(92,141)(7741,10674)(7000,12000)	AgamP4_2L	9500	51	0.013981
(100,141)(8125,10674)(8000,13000)	AgamP4_2L	10500	43	0.014642
(113,159)(9011,13997)(9000,14000)	AgamP4_2L	11500	48	0.011962
(131,163)(10011,14976)(10000,15000)	AgamP4_2L	12500	34	0.013188
(142,177)(13217,15973)(11000,16000)	AgamP4_2L	13500	37	0.014000
(142,187)(13217,16992)(12000,17000)	AgamP4_2L	14500	47	0.016556
(142,199)(13217,17897)(13000,18000)	AgamP4_2L	15500	59	0.018883
(160,211)(14614,18905)(14000,19000)	AgamP4_2L	16500	53	0.025070
(164,214)(15101,19383)(15000,20000)	AgamP4_2L	17500	52	0.025410
(178,214)(16042,19383)(16000,21000)	AgamP4_2L	18500	38	0.026686
(188,214)(17207,19383)(17000,22000)	AgamP4_2L	19500	28	0.026398
(200,214)(18148,19383)(18000,23000)	AgamP4_2L	20500	16	0.024359
(212,214)(19036,19383)(19000,24000)	AgamP4_2L	21500	4	0.037437
(215,225)(24386,24871)(20000,25000)	AgamP4_2L	22500	12	0.005532
(215,236)(24386,25930)(21000,26000)	AgamP4_2L	23500	23	0.010268
(215,248)(24386,26893)(22000,27000)	AgamP4_2L	24500	35	0.013214
(215,251)(24386,27407)(23000,28000)	AgamP4_2L	25500	38	0.012142
(215,251)(24386,27407)(24000,29000)	AgamP4_2L	26500	38	0.012142
(226,251)(25005,27407)(25000,30000)	AgamP4_2L	27500	27	0.014574
(237,251)(26010,27407)(26000,31000)	AgamP4_2L	28500	16	0.014664
(249,257)(27093,31598)(27000,32000)	AgamP4_2L	29500	10	0.009254
(252,257)(31133,31598)(28000,33000)	AgamP4_2L	30500	7	0.015190
(252,257)(31133,31598)(29000,34000)	AgamP4_2L	31500	7	0.015190
(252,257)(31133,31598)(30000,35000)	AgamP4_2L	32500	7	0.015190
(252,266)(31133,35853)(31000,36000)	AgamP4_2L	33500	16	0.032127
(258,270)(35382,36641)(32000,37000)	AgamP4_2L	34500	14	0.031861
(258,270)(35382,36641)(33000,38000)	AgamP4_2L	35500	14	0.031861
(258,270)(35382,36641)(34000,39000)	AgamP4_2L	36500	14	0.031861
(258,270)(35382,36641)(35000,40000)	AgamP4_2L	37500	14	0.031861
(267,270)(36168,36641)(36000,41000)	AgamP4_2L	38500	5	0.017226
(271,277)(42383,42614)(38000,43000)	AgamP4_2L	40500	8	-0.000229
(271,299)(42383,43977)(39000,44000)	AgamP4_2L	41500	30	0.019947
