region	chr	midPos	Nsites
(8,54)(2012,6572)(2000,7000)	AgamP4_2L	4500	48	0.006145
(15,64)(3171,7996)(3000,8000)	AgamP4_2L	5500	51	0.009041
(16,90)(4030,8954)(4000,9000)	AgamP4_2L	6500	76	0.008172
(42,93)(5390,9671)(5000,10000)	AgamP4_2L	7500	53	0.011235
(48,94)(6119,10224)(6000,11000)	AgamP4_2L	8500	48	0.012645
(55,94)(7675,10224)(7000,12000)	AgamP4_2L	9500	41	0.014268
(65,94)(8065,10224)(8000,13000)	AgamP4_2L	10500	31	0.007062
(91,94)(9158,10224)(9000,14000)	AgamP4_2L	11500	5	0.012849
(94,94)(10224,10224)(10000,15000)	AgamP4_2L	12500	2	0.019701
(95,99)(15498,15973)(11000,16000)	AgamP4_2L	13500	6	0.005044
(95,103)(15498,16917)(12000,17000)	AgamP4_2L	14500	10	0.009689
(95,107)(15498,17458)(13000,18000)	AgamP4_2L	15500	14	0.015739
(95,116)(15498,18928)(14000,19000)	AgamP4_2L	16500	23	0.015010
(95,126)(15498,19626)(15000,20000)	AgamP4_2L	17500	33	0.013545
(100,126)(16042,19626)(16000,21000)	AgamP4_2L	18500	28	0.015028
(104,126)(17344,19626)(17000,22000)	AgamP4_2L	19500	24	0.014755
(108,126)(18357,19626)(18000,23000)	AgamP4_2L	20500	20	0.012230
(117,126)(19104,19626)(19000,24000)	AgamP4_2L	21500	11	0.010777
(127,129)(24601,24721)(20000,25000)	AgamP4_2L	22500	4	0.008746
(127,129)(24601,24721)(21000,26000)	AgamP4_2L	23500	4	0.008746
(127,132)(24601,26924)(22000,27000)	AgamP4_2L	24500	7	0.003840
(127,147)(24601,27467)(23000,28000)	AgamP4_2L	25500	22	0.002339
(127,147)(24601,27467)(24000,29000)	AgamP4_2L	26500	22	0.002339
(130,147)(26893,27467)(25000,30000)	AgamP4_2L	27500	19	0.001055
(130,147)(26893,27467)(26000,31000)	AgamP4_2L	28500	19	0.001055
(133,148)(27029,31038)(27000,32000)	AgamP4_2L	29500	17	0.003005
(148,148)(31038,31038)(28000,33000)	AgamP4_2L	30500	2	0.015349
(148,148)(31038,31038)(29000,34000)	AgamP4_2L	31500	2	0.015349
(148,148)(31038,31038)(30000,35000)	AgamP4_2L	32500	2	0.015349
(148,151)(31038,35767)(31000,36000)	AgamP4_2L	33500	5	0.016265
(149,151)(35552,35767)(32000,37000)	AgamP4_2L	34500	4	0.016640
(149,151)(35552,35767)(33000,38000)	AgamP4_2L	35500	4	0.016640
(149,151)(35552,35767)(34000,39000)	AgamP4_2L	36500	4	0.016640
(149,151)(35552,35767)(35000,40000)	AgamP4_2L	37500	4	0.016640
(152,160)(43029,43564)(39000,44000)	AgamP4_2L	41500	10	0.050437
(152,160)(43029,43564)(40000,45000)	AgamP4_2L	42500	10	0.050437
(152,182)(43029,45977)(41000,46000)	AgamP4_2L	43500	32	0.021812
(152,183)(43029,46038)(42000,47000)	AgamP4_2L	44500	33	0.021764
(152,183)(43029,46038)(43000,48000)	AgamP4_2L	45500	33	0.021764
(161,186)(45134,48752)(44000,49000)	AgamP4_2L	46500	27	0.006740
(161,199)(45134,49975)(45000,50000)	AgamP4_2L	47500	40	0.003866
(183,208)(46038,50773)(46000,51000)	AgamP4_2L	48500	27	0.000799
(184,208)(48622,50773)(47000,52000)	AgamP4_2L	49500	26	-0.000417
(184,220)(48622,52967)(48000,53000)	AgamP4_2L	50500	38	0.013815
(187,227)(49426,53971)(49000,54000)	AgamP4_2L	51500	42	0.014404
(200,242)(50001,54943)(50000,55000)	AgamP4_2L	52500	44	0.019204
(209,248)(52617,55850)(51000,56000)	AgamP4_2L	53500	41	0.021399
(209,252)(52617,56768)(52000,57000)	AgamP4_2L	54500	45	0.020998
(221,267)(53017,57928)(53000,58000)	AgamP4_2L	55500	48	0.010365
(228,270)(54061,58501)(54000,59000)	AgamP4_2L	56500	44	0.010142
(243,276)(55076,59987)(55000,60000)	AgamP4_2L	57500	35	0.006767
(249,281)(56314,60427)(56000,61000)	AgamP4_2L	58500	34	0.005902
(253,286)(57320,61245)(57000,62000)	AgamP4_2L	59500	35	0.003581
(268,288)(58469,62569)(58000,63000)	AgamP4_2L	60500	22	0.001471
(271,288)(59184,62569)(59000,64000)	AgamP4_2L	61500	19	0.000811
(277,295)(60053,64871)(60000,65000)	AgamP4_2L	62500	20	0.017584
(282,301)(61075,65840)(61000,66000)	AgamP4_2L	63500	21	0.016865
(287,310)(62448,66964)(62000,67000)	AgamP4_2L	64500	25	0.019247
(289,322)(64133,67971)(63000,68000)	AgamP4_2L	65500	35	0.014647
(289,330)(64133,68937)(64000,69000)	AgamP4_2L	66500	43	0.013153
(296,352)(65345,69968)(65000,70000)	AgamP4_2L	67500	58	0.007154
(302,375)(66173,70890)(66000,71000)	AgamP4_2L	68500	75	0.007784
(311,384)(67087,71902)(67000,72000)	AgamP4_2L	69500	75	0.006229
(323,385)(68017,72306)(68000,73000)	AgamP4_2L	70500	64	0.006952
(331,386)(69026,73713)(69000,74000)	AgamP4_2L	71500	57	0.007296
(353,402)(70002,74992)(70000,75000)	AgamP4_2L	72500	51	0.007125
(376,407)(71083,75103)(71000,76000)	AgamP4_2L	73500	33	0.007502
(385,408)(72306,76837)(72000,77000)	AgamP4_2L	74500	25	0.007691
(386,423)(73713,77971)(73000,78000)	AgamP4_2L	75500	39	0.016075
(387,443)(74490,78906)(74000,79000)	AgamP4_2L	76500	58	0.010813
(403,443)(75033,78906)(75000,80000)	AgamP4_2L	77500	42	0.013308
(408,443)(76837,78906)(76000,81000)	AgamP4_2L	78500	37	0.012826
(409,466)(77294,81995)(77000,82000)	AgamP4_2L	79500	59	0.006614
(424,485)(78043,82980)(78000,83000)	AgamP4_2L	80500	63	-0.001680
(444,511)(81076,83975)(79000,84000)	AgamP4_2L	81500	69	-0.000875
(444,525)(81076,84876)(80000,85000)	AgamP4_2L	82500	83	-0.000775
(444,546)(81076,85980)(81000,86000)	AgamP4_2L	83500	104	-0.001104
