region	chr	midPos	Nsites
(4,4)(1380,1380)(1000,6000)	AgamP4_3L	3500	2	0.002658
(5,9)(9296,9986)(5000,10000)	AgamP4_3L	7500	6	0.018404
(5,12)(9296,10706)(6000,11000)	AgamP4_3L	8500	9	0.014493
(5,13)(9296,11561)(7000,12000)	AgamP4_3L	9500	10	0.013804
(5,13)(9296,11561)(8000,13000)	AgamP4_3L	10500	10	0.013804
(5,13)(9296,11561)(9000,14000)	AgamP4_3L	11500	10	0.013804
(10,13)(10253,11561)(10000,15000)	AgamP4_3L	12500	5	0.009258
(13,13)(11561,11561)(11000,16000)	AgamP4_3L	13500	2	0.003004
(14,16)(18331,18990)(14000,19000)	AgamP4_3L	16500	4	-0.002934
(14,21)(18331,19487)(15000,20000)	AgamP4_3L	17500	9	0.007154
(14,29)(18331,20788)(16000,21000)	AgamP4_3L	18500	17	0.005013
(14,49)(18331,21965)(17000,22000)	AgamP4_3L	19500	37	0.006315
(14,56)(18331,22870)(18000,23000)	AgamP4_3L	20500	44	0.006831
(17,56)(19085,22870)(19000,24000)	AgamP4_3L	21500	41	0.007348
(22,56)(20021,22870)(20000,25000)	AgamP4_3L	22500	36	0.006781
(30,56)(21049,22870)(21000,26000)	AgamP4_3L	23500	28	0.007479
(50,67)(22149,26715)(22000,27000)	AgamP4_3L	24500	19	0.019487
(57,70)(26167,27555)(23000,28000)	AgamP4_3L	25500	15	0.022249
(57,73)(26167,28402)(24000,29000)	AgamP4_3L	26500	18	0.020062
(57,74)(26167,29771)(25000,30000)	AgamP4_3L	27500	19	0.023386
(57,74)(26167,29771)(26000,31000)	AgamP4_3L	28500	19	0.023386
(68,74)(27495,29771)(27000,32000)	AgamP4_3L	29500	8	0.020652
(71,74)(28278,29771)(28000,33000)	AgamP4_3L	30500	5	0.028747
(74,74)(29771,29771)(29000,34000)	AgamP4_3L	31500	2	0.055924
(75,75)(34686,34686)(30000,35000)	AgamP4_3L	32500	2	0.012002
(75,87)(34686,35975)(31000,36000)	AgamP4_3L	33500	14	0.006637
(75,93)(34686,36918)(32000,37000)	AgamP4_3L	34500	20	0.006797
