region	chr	midPos	Nsites
(3,19)(1392,5973)(1000,6000)	AgamP4_X	3500	18	0.000390
(4,24)(3508,6776)(2000,7000)	AgamP4_X	4500	22	-0.000205
(4,24)(3508,6776)(3000,8000)	AgamP4_X	5500	22	-0.000205
(6,42)(4144,8921)(4000,9000)	AgamP4_X	6500	38	0.007297
(16,47)(5274,9755)(5000,10000)	AgamP4_X	7500	33	0.007830
(20,51)(6195,10882)(6000,11000)	AgamP4_X	8500	33	0.009944
(25,59)(8090,11973)(7000,12000)	AgamP4_X	9500	36	0.012424
(25,61)(8090,12913)(8000,13000)	AgamP4_X	10500	38	0.011907
(43,62)(9652,13312)(9000,14000)	AgamP4_X	11500	21	0.011678
(48,62)(10409,13312)(10000,15000)	AgamP4_X	12500	16	0.015143
(52,64)(11035,15637)(11000,16000)	AgamP4_X	13500	14	0.012161
(60,67)(12456,16758)(12000,17000)	AgamP4_X	14500	9	0.007279
(62,78)(13312,17344)(13000,18000)	AgamP4_X	15500	18	0.005894
(63,83)(15382,18520)(14000,19000)	AgamP4_X	16500	22	0.006372
(63,106)(15382,19927)(15000,20000)	AgamP4_X	17500	45	0.006307
(65,108)(16115,20655)(16000,21000)	AgamP4_X	18500	45	0.005847
(68,113)(17104,21860)(17000,22000)	AgamP4_X	19500	47	0.005997
(79,117)(18153,22098)(18000,23000)	AgamP4_X	20500	40	0.007947
(84,118)(19321,23336)(19000,24000)	AgamP4_X	21500	36	0.007629
(107,119)(20384,24185)(20000,25000)	AgamP4_X	22500	14	0.010964
(109,126)(21098,25681)(21000,26000)	AgamP4_X	23500	19	0.012282
(114,129)(22047,26865)(22000,27000)	AgamP4_X	24500	17	0.014103
(118,147)(23336,27970)(23000,28000)	AgamP4_X	25500	31	0.008398
(119,147)(24185,27970)(24000,29000)	AgamP4_X	26500	30	0.008998
(120,150)(25068,29790)(25000,30000)	AgamP4_X	27500	32	0.007684
(127,166)(26136,30970)(26000,31000)	AgamP4_X	28500	41	0.004788
(130,179)(27180,31762)(27000,32000)	AgamP4_X	29500	51	0.004107
(148,182)(29090,32864)(28000,33000)	AgamP4_X	30500	36	0.003358
(148,183)(29090,33204)(29000,34000)	AgamP4_X	31500	37	0.003371
(151,185)(30018,34697)(30000,35000)	AgamP4_X	32500	36	0.004068
(167,188)(31373,35281)(31000,36000)	AgamP4_X	33500	23	0.005351
(180,188)(32169,35281)(32000,37000)	AgamP4_X	34500	10	0.008436
(183,210)(33204,37761)(33000,38000)	AgamP4_X	35500	29	0.005490
(184,210)(34167,37761)(34000,39000)	AgamP4_X	36500	28	0.005518
(186,211)(35210,39924)(35000,40000)	AgamP4_X	37500	27	0.004476
(189,215)(37014,40542)(36000,41000)	AgamP4_X	38500	28	0.005346
(189,216)(37014,41529)(37000,42000)	AgamP4_X	39500	29	0.005284
(211,220)(39924,42865)(38000,43000)	AgamP4_X	40500	11	0.005813
(211,232)(39924,43831)(39000,44000)	AgamP4_X	41500	23	0.002599
(212,233)(40295,44210)(40000,45000)	AgamP4_X	42500	23	0.004964
(216,235)(41529,45598)(41000,46000)	AgamP4_X	43500	21	0.004036
(217,240)(42300,46875)(42000,47000)	AgamP4_X	44500	25	0.004716
(221,255)(43090,47917)(43000,48000)	AgamP4_X	45500	36	0.006149
(233,256)(44210,48858)(44000,49000)	AgamP4_X	46500	25	0.008743
(234,259)(45067,49199)(45000,50000)	AgamP4_X	47500	27	0.006204
