region	chr	midPos	Nsites
(4,68)(1206,5977)(1000,6000)	AgamP4_2L	3500	66	0.038923
(18,79)(2001,6890)(2000,7000)	AgamP4_2L	4500	63	0.042673
(34,86)(3089,7996)(3000,8000)	AgamP4_2L	5500	54	0.043488
(47,99)(4092,8999)(4000,9000)	AgamP4_2L	6500	54	0.038088
(63,115)(5519,9874)(5000,10000)	AgamP4_2L	7500	54	0.039299
(69,123)(6119,10674)(6000,11000)	AgamP4_2L	8500	56	0.037965
(80,123)(7741,10674)(7000,12000)	AgamP4_2L	9500	45	0.030012
(87,123)(8125,10674)(8000,13000)	AgamP4_2L	10500	38	0.026108
(100,138)(9011,13970)(9000,14000)	AgamP4_2L	11500	40	0.034599
(116,140)(10011,14976)(10000,15000)	AgamP4_2L	12500	26	0.040014
(124,154)(13217,15973)(11000,16000)	AgamP4_2L	13500	32	0.033862
(124,164)(13217,16992)(12000,17000)	AgamP4_2L	14500	42	0.038687
(124,173)(13217,17897)(13000,18000)	AgamP4_2L	15500	51	0.036135
(139,188)(14847,18905)(14000,19000)	AgamP4_2L	16500	51	0.027472
(141,190)(15101,19383)(15000,20000)	AgamP4_2L	17500	51	0.028047
(155,190)(16042,19383)(16000,21000)	AgamP4_2L	18500	37	0.030839
(165,190)(17207,19383)(17000,22000)	AgamP4_2L	19500	27	0.021042
(174,190)(18148,19383)(18000,23000)	AgamP4_2L	20500	18	0.018664
(189,190)(19218,19383)(19000,24000)	AgamP4_2L	21500	3	0.026878
(191,201)(24386,24876)(20000,25000)	AgamP4_2L	22500	12	0.028857
(191,209)(24386,25930)(21000,26000)	AgamP4_2L	23500	20	0.039441
(191,218)(24386,26893)(22000,27000)	AgamP4_2L	24500	29	0.036340
(191,222)(24386,27407)(23000,28000)	AgamP4_2L	25500	33	0.032355
(191,222)(24386,27407)(24000,29000)	AgamP4_2L	26500	33	0.032355
(202,222)(25105,27407)(25000,30000)	AgamP4_2L	27500	22	0.034065
(210,222)(26137,27407)(26000,31000)	AgamP4_2L	28500	14	0.022476
(219,224)(27093,31591)(27000,32000)	AgamP4_2L	29500	7	0.012038
(223,224)(31362,31591)(28000,33000)	AgamP4_2L	30500	3	0.037220
(223,224)(31362,31591)(29000,34000)	AgamP4_2L	31500	3	0.037220
(223,224)(31362,31591)(30000,35000)	AgamP4_2L	32500	3	0.037220
(223,230)(31362,35853)(31000,36000)	AgamP4_2L	33500	9	0.034964
(225,234)(35382,36641)(32000,37000)	AgamP4_2L	34500	11	0.028041
(225,234)(35382,36641)(33000,38000)	AgamP4_2L	35500	11	0.028041
(225,234)(35382,36641)(34000,39000)	AgamP4_2L	36500	11	0.028041
(225,234)(35382,36641)(35000,40000)	AgamP4_2L	37500	11	0.028041
(231,234)(36168,36641)(36000,41000)	AgamP4_2L	38500	5	0.018668
(235,252)(43029,43906)(39000,44000)	AgamP4_2L	41500	19	0.027788
(235,255)(43029,44906)(40000,45000)	AgamP4_2L	42500	22	0.028232
(235,281)(43029,45977)(41000,46000)	AgamP4_2L	43500	48	0.025166
(235,282)(43029,46038)(42000,47000)	AgamP4_2L	44500	49	0.024846
(235,282)(43029,46038)(43000,48000)	AgamP4_2L	45500	49	0.024846
(253,288)(44006,48835)(44000,49000)	AgamP4_2L	46500	37	0.020021
(256,302)(45034,49975)(45000,50000)	AgamP4_2L	47500	48	0.015761
(282,315)(46038,50989)(46000,51000)	AgamP4_2L	48500	35	0.007370
(283,322)(48457,51941)(47000,52000)	AgamP4_2L	49500	41	0.012190
(283,338)(48457,52998)(48000,53000)	AgamP4_2L	50500	57	0.018397
(289,352)(49102,53971)(49000,54000)	AgamP4_2L	51500	65	0.022588
(303,363)(50001,54947)(50000,55000)	AgamP4_2L	52500	62	0.025362
(316,372)(51165,55899)(51000,56000)	AgamP4_2L	53500	58	0.027788
(323,382)(52088,56912)(52000,57000)	AgamP4_2L	54500	61	0.028180
(339,405)(53071,57951)(53000,58000)	AgamP4_2L	55500	68	0.019897
(353,418)(54061,58956)(54000,59000)	AgamP4_2L	56500	67	0.019223
(364,427)(55076,59826)(55000,60000)	AgamP4_2L	57500	65	0.018986
(373,439)(56271,60841)(56000,61000)	AgamP4_2L	58500	68	0.024483
(383,449)(57173,61724)(57000,62000)	AgamP4_2L	59500	68	0.026112
(406,458)(58056,62999)(58000,63000)	AgamP4_2L	60500	54	0.031699
(419,462)(59037,63892)(59000,64000)	AgamP4_2L	61500	45	0.037533
(428,471)(60112,64871)(60000,65000)	AgamP4_2L	62500	45	0.038130
(440,481)(61243,65840)(61000,66000)	AgamP4_2L	63500	43	0.033814
(450,486)(62031,66964)(62000,67000)	AgamP4_2L	64500	38	0.028323
(459,500)(63714,67971)(63000,68000)	AgamP4_2L	65500	43	0.028033
(463,509)(64044,68844)(64000,69000)	AgamP4_2L	66500	48	0.020294
(472,527)(65182,69968)(65000,70000)	AgamP4_2L	67500	57	0.015094
(482,548)(66173,70880)(66000,71000)	AgamP4_2L	68500	68	0.011887
(487,562)(67000,71944)(67000,72000)	AgamP4_2L	69500	77	0.016231
(501,576)(68007,72967)(68000,73000)	AgamP4_2L	70500	77	0.021159
(510,586)(69067,73938)(69000,74000)	AgamP4_2L	71500	78	0.023562
(528,600)(70149,74992)(70000,75000)	AgamP4_2L	72500	74	0.026412
(549,611)(71035,75999)(71000,76000)	AgamP4_2L	73500	64	0.034706
(563,623)(72057,76904)(72000,77000)	AgamP4_2L	74500	62	0.033791
(577,648)(73013,77985)(73000,78000)	AgamP4_2L	75500	73	0.025869
(587,671)(74289,78969)(74000,79000)	AgamP4_2L	76500	86	0.023029
(601,675)(75044,79235)(75000,80000)	AgamP4_2L	77500	76	0.024651
(612,675)(76028,79235)(76000,81000)	AgamP4_2L	78500	65	0.020095
(624,703)(77254,81995)(77000,82000)	AgamP4_2L	79500	81	0.014844
(649,730)(78043,82997)(78000,83000)	AgamP4_2L	80500	83	0.010689
(672,764)(79131,83975)(79000,84000)	AgamP4_2L	81500	94	0.004959
(676,784)(81076,84931)(80000,85000)	AgamP4_2L	82500	110	0.002636
(676,807)(81076,85980)(81000,86000)	AgamP4_2L	83500	133	0.002576
(704,833)(82002,86983)(82000,87000)	AgamP4_2L	84500	131	0.001094
(731,861)(83041,87929)(83000,88000)	AgamP4_2L	85500	132	0.003814
(765,883)(84034,88987)(84000,89000)	AgamP4_2L	86500	120	0.005272
(785,895)(85018,89645)(85000,90000)	AgamP4_2L	87500	112	0.006497
(808,895)(86078,89645)(86000,91000)	AgamP4_2L	88500	89	0.007616
(834,895)(87002,89645)(87000,92000)	AgamP4_2L	89500	63	0.011185
(862,895)(88076,89645)(88000,93000)	AgamP4_2L	90500	35	0.008248
(884,895)(89006,89645)(89000,94000)	AgamP4_2L	91500	13	0.006960
(896,898)(95514,95826)(91000,96000)	AgamP4_2L	93500	4	0.048228
(896,908)(95514,96624)(92000,97000)	AgamP4_2L	94500	14	0.020810
(896,932)(95514,97995)(93000,98000)	AgamP4_2L	95500	38	0.014584
(896,957)(95514,98976)(94000,99000)	AgamP4_2L	96500	63	0.011328
(896,970)(95514,99954)(95000,100000)	AgamP4_2L	97500	76	0.011570
(899,980)(96035,100881)(96000,101000)	AgamP4_2L	98500	83	0.011268
(909,989)(97212,101918)(97000,102000)	AgamP4_2L	99500	82	0.013219
(933,990)(98016,102161)(98000,103000)	AgamP4_2L	100500	59	0.014171
(958,1006)(99059,103891)(99000,104000)	AgamP4_2L	101500	50	0.016395
(971,1008)(100056,104097)(100000,105000)	AgamP4_2L	102500	39	0.016737
(981,1008)(101012,104097)(101000,106000)	AgamP4_2L	103500	29	0.016198
(990,1024)(102161,106994)(102000,107000)	AgamP4_2L	104500	36	0.007076
(991,1039)(103139,107895)(103000,108000)	AgamP4_2L	105500	50	0.008351
(1007,1055)(104016,108864)(104000,109000)	AgamP4_2L	106500	50	0.010566
(1009,1074)(106160,109979)(105000,110000)	AgamP4_2L	107500	67	0.012671
(1009,1079)(106160,110802)(106000,111000)	AgamP4_2L	108500	72	0.013065
(1025,1080)(107011,111893)(107000,112000)	AgamP4_2L	109500	57	0.017076
(1040,1081)(108216,112215)(108000,113000)	AgamP4_2L	110500	43	0.018635
(1056,1082)(109052,113539)(109000,114000)	AgamP4_2L	111500	28	0.019136
(1075,1082)(110023,113539)(110000,115000)	AgamP4_2L	112500	9	0.024673
(1080,1082)(111893,113539)(111000,116000)	AgamP4_2L	113500	4	0.041803
(1081,1083)(112215,116914)(112000,117000)	AgamP4_2L	114500	4	0.016429
(1082,1085)(113539,117953)(113000,118000)	AgamP4_2L	115500	5	0.044261
(1083,1087)(116914,118410)(114000,119000)	AgamP4_2L	116500	6	0.045988
(1083,1093)(116914,119943)(115000,120000)	AgamP4_2L	117500	12	0.029015
(1083,1108)(116914,120997)(116000,121000)	AgamP4_2L	118500	27	0.030866
(1084,1111)(117341,121593)(117000,122000)	AgamP4_2L	119500	29	0.029795
