region	chr	midPos	Nsites
(1,11)(1616,5338)(1000,6000)	AgamP4_X	3500	12	0.013005
(2,12)(2370,6155)(2000,7000)	AgamP4_X	4500	12	0.013408
(4,13)(3586,7929)(3000,8000)	AgamP4_X	5500	11	0.016759
(5,25)(4144,8906)(4000,9000)	AgamP4_X	6500	22	0.012164
(11,32)(5338,9755)(5000,10000)	AgamP4_X	7500	23	0.011830
(12,35)(6155,10495)(6000,11000)	AgamP4_X	8500	25	0.012450
(13,41)(7929,11973)(7000,12000)	AgamP4_X	9500	30	0.016603
(14,43)(8202,12809)(8000,13000)	AgamP4_X	10500	31	0.014596
(26,45)(9111,13475)(9000,14000)	AgamP4_X	11500	21	0.017306
(33,50)(10409,14971)(10000,15000)	AgamP4_X	12500	19	0.026993
(36,55)(11325,15566)(11000,16000)	AgamP4_X	13500	21	0.025972
(42,58)(12631,16944)(12000,17000)	AgamP4_X	14500	18	0.020575
(44,70)(13312,17344)(13000,18000)	AgamP4_X	15500	28	0.014921
(46,74)(14324,18806)(14000,19000)	AgamP4_X	16500	30	0.015817
(51,92)(15096,19927)(15000,20000)	AgamP4_X	17500	43	0.009971
(56,94)(16521,20827)(16000,21000)	AgamP4_X	18500	40	0.008406
(59,97)(17169,21672)(17000,22000)	AgamP4_X	19500	40	0.008965
(71,107)(18125,22845)(18000,23000)	AgamP4_X	20500	38	0.008340
(75,108)(19574,23290)(19000,24000)	AgamP4_X	21500	35	0.006794
(93,109)(20593,24355)(20000,25000)	AgamP4_X	22500	18	0.003881
(95,113)(21441,25875)(21000,26000)	AgamP4_X	23500	20	0.003070
(98,116)(22033,26978)(22000,27000)	AgamP4_X	24500	20	0.004213
(108,129)(23290,27882)(23000,28000)	AgamP4_X	25500	23	0.007377
(109,129)(24355,27882)(24000,29000)	AgamP4_X	26500	22	0.007979
(110,134)(25132,29850)(25000,30000)	AgamP4_X	27500	26	0.006532
(114,150)(26278,30970)(26000,31000)	AgamP4_X	28500	38	0.006021
(117,163)(27107,31822)(27000,32000)	AgamP4_X	29500	48	0.005063
(130,164)(29409,32171)(28000,33000)	AgamP4_X	30500	36	0.003636
(130,164)(29409,32171)(29000,34000)	AgamP4_X	31500	36	0.003636
(135,166)(30272,34685)(30000,35000)	AgamP4_X	32500	33	0.004164
(151,169)(31006,35281)(31000,36000)	AgamP4_X	33500	20	0.007021
(164,172)(32171,36887)(32000,37000)	AgamP4_X	34500	10	0.006255
(165,197)(34013,37554)(33000,38000)	AgamP4_X	35500	34	0.005349
(165,199)(34013,38990)(34000,39000)	AgamP4_X	36500	36	0.004643
(167,199)(35210,38990)(35000,40000)	AgamP4_X	37500	34	0.004706
(170,201)(36257,40542)(36000,41000)	AgamP4_X	38500	33	0.003667
(173,202)(37016,41966)(37000,42000)	AgamP4_X	39500	31	0.004098
(198,208)(38979,42752)(38000,43000)	AgamP4_X	40500	12	-0.001061
(200,218)(40295,43916)(39000,44000)	AgamP4_X	41500	20	0.000462
(200,218)(40295,43916)(40000,45000)	AgamP4_X	42500	20	0.000462
(202,221)(41966,45773)(41000,46000)	AgamP4_X	43500	21	0.002191
(203,231)(42007,46671)(42000,47000)	AgamP4_X	44500	30	0.007965
(209,245)(43090,47973)(43000,48000)	AgamP4_X	45500	38	0.010205
(219,249)(45394,48777)(44000,49000)	AgamP4_X	46500	32	0.014402
(219,250)(45394,49193)(45000,50000)	AgamP4_X	47500	33	0.015406
(222,254)(46012,50942)(46000,51000)	AgamP4_X	48500	34	0.013742
(232,257)(47061,51738)(47000,52000)	AgamP4_X	49500	27	0.014900
(246,265)(48321,52925)(48000,53000)	AgamP4_X	50500	21	0.019200
(250,268)(49193,53569)(49000,54000)	AgamP4_X	51500	20	0.015530
(251,273)(50414,54910)(50000,55000)	AgamP4_X	52500	24	0.015632
(255,283)(51251,55877)(51000,56000)	AgamP4_X	53500	30	0.015421
(258,300)(52140,56972)(52000,57000)	AgamP4_X	54500	44	0.011159
(266,305)(53434,57596)(53000,58000)	AgamP4_X	55500	41	0.011706
(269,313)(54098,58989)(54000,59000)	AgamP4_X	56500	46	0.012678
(274,320)(55125,59697)(55000,60000)	AgamP4_X	57500	48	0.010996
(284,327)(56003,60865)(56000,61000)	AgamP4_X	58500	45	0.009990
(301,337)(57080,61875)(57000,62000)	AgamP4_X	59500	38	0.007883
(306,345)(58330,62965)(58000,63000)	AgamP4_X	60500	41	0.007531
(314,354)(59033,63997)(59000,64000)	AgamP4_X	61500	42	0.007359
(321,367)(60542,64983)(60000,65000)	AgamP4_X	62500	48	0.004294
(328,381)(61091,65964)(61000,66000)	AgamP4_X	63500	55	0.009995
(338,388)(62091,66734)(62000,67000)	AgamP4_X	64500	52	0.013051
(346,391)(63117,67521)(63000,68000)	AgamP4_X	65500	47	0.013063
(355,398)(64124,68949)(64000,69000)	AgamP4_X	66500	45	0.013068
(368,407)(65007,69978)(65000,70000)	AgamP4_X	67500	41	0.015460
(382,414)(66137,70856)(66000,71000)	AgamP4_X	68500	34	0.010698
(389,421)(67193,71353)(67000,72000)	AgamP4_X	69500	34	0.006528
(392,433)(68253,72838)(68000,73000)	AgamP4_X	70500	43	0.011324
(399,442)(69099,73829)(69000,74000)	AgamP4_X	71500	45	0.013931
(408,449)(70110,74813)(70000,75000)	AgamP4_X	72500	43	0.018854
(415,454)(71003,75937)(71000,76000)	AgamP4_X	73500	41	0.019831
(422,465)(72010,76748)(72000,77000)	AgamP4_X	74500	45	0.026915
(434,471)(73103,77808)(73000,78000)	AgamP4_X	75500	39	0.026334
(443,476)(74259,78987)(74000,79000)	AgamP4_X	76500	35	0.023976
(450,486)(75332,79999)(75000,80000)	AgamP4_X	77500	38	0.017594
(455,496)(76025,80852)(76000,81000)	AgamP4_X	78500	43	0.015425
(466,502)(77357,81844)(77000,82000)	AgamP4_X	79500	38	0.003586
(472,511)(78032,82913)(78000,83000)	AgamP4_X	80500	41	0.002129
(477,521)(79008,83840)(79000,84000)	AgamP4_X	81500	46	0.002187
(487,524)(80007,84175)(80000,85000)	AgamP4_X	82500	39	0.001763
(497,525)(81113,85695)(81000,86000)	AgamP4_X	83500	30	0.001222
(503,526)(82046,86845)(82000,87000)	AgamP4_X	84500	25	0.002549
(512,528)(83216,87289)(83000,88000)	AgamP4_X	85500	18	0.005118
(522,534)(84052,88972)(84000,89000)	AgamP4_X	86500	14	0.005558
(525,537)(85695,89706)(85000,90000)	AgamP4_X	87500	14	0.008346
(526,537)(86845,89706)(86000,91000)	AgamP4_X	88500	13	0.007732
(527,539)(87022,91624)(87000,92000)	AgamP4_X	89500	14	0.008709
(529,541)(88011,92972)(88000,93000)	AgamP4_X	90500	14	0.007211
(535,543)(89054,93767)(89000,94000)	AgamP4_X	91500	10	0.003447
(538,545)(91496,94581)(90000,95000)	AgamP4_X	92500	9	0.002441
(538,554)(91496,95695)(91000,96000)	AgamP4_X	93500	18	0.007046
(540,560)(92377,96700)(92000,97000)	AgamP4_X	94500	22	0.003880
(542,564)(93586,97946)(93000,98000)	AgamP4_X	95500	24	0.004241
(544,569)(94356,98965)(94000,99000)	AgamP4_X	96500	27	0.004398
(546,588)(95177,99991)(95000,100000)	AgamP4_X	97500	44	0.005305
(555,597)(96054,100997)(96000,101000)	AgamP4_X	98500	44	0.003770
(561,601)(97205,101859)(97000,102000)	AgamP4_X	99500	42	0.004643
(565,604)(98579,102316)(98000,103000)	AgamP4_X	100500	41	0.006828
(570,609)(99040,103898)(99000,104000)	AgamP4_X	101500	41	0.006957
(589,615)(100278,104480)(100000,105000)	AgamP4_X	102500	28	0.004831
(598,622)(101416,105889)(101000,106000)	AgamP4_X	103500	26	0.003366
(602,630)(102107,106983)(102000,107000)	AgamP4_X	104500	30	0.002114
(605,630)(103106,106983)(103000,108000)	AgamP4_X	105500	27	-0.000601
(610,640)(104098,108591)(104000,109000)	AgamP4_X	106500	32	-0.000903
(616,643)(105139,109915)(105000,110000)	AgamP4_X	107500	29	-0.000458
(623,649)(106122,110848)(106000,111000)	AgamP4_X	108500	28	-0.001590
(631,654)(108197,111982)(107000,112000)	AgamP4_X	109500	25	-0.001372
(631,659)(108197,112942)(108000,113000)	AgamP4_X	110500	30	-0.001175
(641,672)(109170,113813)(109000,114000)	AgamP4_X	111500	33	-0.000311
(644,677)(110047,114835)(110000,115000)	AgamP4_X	112500	35	0.000948
(650,681)(111182,115336)(111000,116000)	AgamP4_X	113500	33	0.002385
(655,691)(112076,116989)(112000,117000)	AgamP4_X	114500	38	0.010108
(660,700)(113000,117851)(113000,118000)	AgamP4_X	115500	42	0.012225
(673,715)(114141,118969)(114000,119000)	AgamP4_X	116500	44	0.013780
(678,738)(115275,119883)(115000,120000)	AgamP4_X	117500	62	0.011662
(682,746)(116520,120997)(116000,121000)	AgamP4_X	118500	66	0.012246
(692,748)(117051,121945)(117000,122000)	AgamP4_X	119500	58	0.009011
(701,758)(118036,122969)(118000,123000)	AgamP4_X	120500	59	0.007961
(716,765)(119012,123811)(119000,124000)	AgamP4_X	121500	51	0.009167
(739,774)(120086,124961)(120000,125000)	AgamP4_X	122500	37	0.013220
(747,777)(121658,125411)(121000,126000)	AgamP4_X	123500	32	0.013324
(749,787)(122465,126973)(122000,127000)	AgamP4_X	124500	40	0.012536
(759,796)(123063,127993)(123000,128000)	AgamP4_X	125500	39	0.011561
(766,802)(124153,128670)(124000,129000)	AgamP4_X	126500	38	0.013658
(775,805)(125342,129614)(125000,130000)	AgamP4_X	127500	32	0.010774
(778,810)(126117,130961)(126000,131000)	AgamP4_X	128500	34	0.009463
(788,816)(127042,131933)(127000,132000)	AgamP4_X	129500	30	0.009140
(797,824)(128386,132965)(128000,133000)	AgamP4_X	130500	29	0.010042
(803,833)(129095,133941)(129000,134000)	AgamP4_X	131500	32	0.002888
(806,837)(130185,134534)(130000,135000)	AgamP4_X	132500	33	0.005509
(811,842)(131099,135979)(131000,136000)	AgamP4_X	133500	33	0.006527
(817,846)(132112,136885)(132000,137000)	AgamP4_X	134500	31	0.006157
(825,848)(133033,137627)(133000,138000)	AgamP4_X	135500	25	0.006845
(834,854)(134282,138925)(134000,139000)	AgamP4_X	136500	22	0.009958
(838,855)(135021,139160)(135000,140000)	AgamP4_X	137500	19	0.006806
(843,864)(136015,140902)(136000,141000)	AgamP4_X	138500	23	0.003567
(847,867)(137072,141706)(137000,142000)	AgamP4_X	139500	22	0.003765
(849,875)(138036,142596)(138000,143000)	AgamP4_X	140500	28	0.004460
(855,877)(139160,143958)(139000,144000)	AgamP4_X	141500	24	0.002467
(856,885)(140076,144977)(140000,145000)	AgamP4_X	142500	31	0.001875
(865,895)(141378,145883)(141000,146000)	AgamP4_X	143500	32	0.003903
(868,906)(142053,146829)(142000,147000)	AgamP4_X	144500	40	0.002870
(876,913)(143655,147893)(143000,148000)	AgamP4_X	145500	39	0.002125
(878,918)(144004,148997)(144000,149000)	AgamP4_X	146500	42	0.002106
(886,924)(145093,149891)(145000,150000)	AgamP4_X	147500	40	0.005889
(896,945)(146042,150995)(146000,151000)	AgamP4_X	148500	51	0.006180
(907,961)(147124,151799)(147000,152000)	AgamP4_X	149500	56	0.008365
(914,968)(148042,152975)(148000,153000)	AgamP4_X	150500	56	0.009047
(919,988)(149408,153942)(149000,154000)	AgamP4_X	151500	71	0.008510
(925,994)(150293,154954)(150000,155000)	AgamP4_X	152500	71	0.007334
(946,999)(151057,155830)(151000,156000)	AgamP4_X	153500	55	0.006875
(962,1009)(152211,156935)(152000,157000)	AgamP4_X	154500	49	0.005557
(969,1014)(153030,157877)(153000,158000)	AgamP4_X	155500	47	0.004945
(989,1023)(154288,158998)(154000,159000)	AgamP4_X	156500	36	0.004177
(995,1034)(155142,159979)(155000,160000)	AgamP4_X	157500	41	0.003930
(1000,1041)(156068,160992)(156000,161000)	AgamP4_X	158500	43	0.003009
(1010,1051)(157040,161955)(157000,162000)	AgamP4_X	159500	43	0.004244
(1015,1064)(158250,162907)(158000,163000)	AgamP4_X	160500	51	0.003547
(1024,1078)(159058,163954)(159000,164000)	AgamP4_X	161500	56	0.003274
(1035,1084)(160067,164950)(160000,165000)	AgamP4_X	162500	51	0.005649
(1042,1092)(161090,165947)(161000,166000)	AgamP4_X	163500	52	0.007942
(1052,1110)(162148,166968)(162000,167000)	AgamP4_X	164500	60	0.007167
(1065,1113)(163013,167446)(163000,168000)	AgamP4_X	165500	50	0.007984
(1079,1124)(164138,168976)(164000,169000)	AgamP4_X	166500	47	0.007416
(1085,1139)(165151,169962)(165000,170000)	AgamP4_X	167500	56	0.006423
(1093,1153)(166158,170771)(166000,171000)	AgamP4_X	168500	62	0.004924
(1111,1172)(167285,171995)(167000,172000)	AgamP4_X	169500	63	0.005303
(1114,1180)(168209,172758)(168000,173000)	AgamP4_X	170500	68	0.008622
(1125,1191)(169147,173993)(169000,174000)	AgamP4_X	171500	68	0.010302
(1140,1208)(170217,174972)(170000,175000)	AgamP4_X	172500	70	0.007817
(1154,1223)(171002,175969)(171000,176000)	AgamP4_X	173500	71	0.008121
(1173,1243)(172049,176981)(172000,177000)	AgamP4_X	174500	72	0.011938
(1181,1247)(173223,177899)(173000,178000)	AgamP4_X	175500	68	0.009210
(1192,1263)(174034,178896)(174000,179000)	AgamP4_X	176500	73	0.010269
(1209,1276)(175071,179969)(175000,180000)	AgamP4_X	177500	69	0.013154
(1224,1290)(176074,180764)(176000,181000)	AgamP4_X	178500	68	0.013147
(1244,1302)(177234,181965)(177000,182000)	AgamP4_X	179500	60	0.009177
(1248,1308)(178220,182990)(178000,183000)	AgamP4_X	180500	62	0.008366
(1264,1316)(179000,183943)(179000,184000)	AgamP4_X	181500	54	0.005109
(1277,1323)(180099,184986)(180000,185000)	AgamP4_X	182500	48	0.002452
(1291,1328)(181170,185364)(181000,186000)	AgamP4_X	183500	39	0.001755
(1303,1336)(182454,186979)(182000,187000)	AgamP4_X	184500	35	-0.000032
(1309,1340)(183034,187863)(183000,188000)	AgamP4_X	185500	33	-0.000123
(1317,1346)(184208,188840)(184000,189000)	AgamP4_X	186500	31	0.001236
(1324,1354)(185008,189914)(185000,190000)	AgamP4_X	187500	32	0.007473
(1329,1363)(186145,190850)(186000,191000)	AgamP4_X	188500	36	0.009044
(1337,1380)(187743,191986)(187000,192000)	AgamP4_X	189500	45	0.006342
(1341,1385)(188134,192856)(188000,193000)	AgamP4_X	190500	46	0.006167
(1347,1387)(189122,193801)(189000,194000)	AgamP4_X	191500	42	0.005238
(1355,1391)(190004,194776)(190000,195000)	AgamP4_X	192500	38	0.002732
(1364,1395)(191054,195950)(191000,196000)	AgamP4_X	193500	33	0.002044
(1381,1398)(192101,196852)(192000,197000)	AgamP4_X	194500	19	0.005919
(1386,1409)(193329,197974)(193000,198000)	AgamP4_X	195500	25	0.016325
(1388,1416)(194053,198921)(194000,199000)	AgamP4_X	196500	30	0.015413
(1392,1417)(195109,199084)(195000,200000)	AgamP4_X	197500	27	0.016692
(1396,1420)(196582,200746)(196000,201000)	AgamP4_X	198500	26	0.018528
(1399,1428)(197111,201872)(197000,202000)	AgamP4_X	199500	31	0.017122
(1410,1436)(198015,202972)(198000,203000)	AgamP4_X	200500	28	0.010263
