region	chr	midPos	Nsites
(2,17)(1392,5973)(1000,6000)	AgamP4_X	3500	17	0.003204
(3,22)(3508,6776)(2000,7000)	AgamP4_X	4500	21	0.004478
(3,22)(3508,6776)(3000,8000)	AgamP4_X	5500	21	0.004478
(5,39)(4144,8921)(4000,9000)	AgamP4_X	6500	36	0.008574
(15,46)(5274,9755)(5000,10000)	AgamP4_X	7500	33	0.008668
(18,52)(6195,10882)(6000,11000)	AgamP4_X	8500	36	0.009971
(23,60)(8090,11973)(7000,12000)	AgamP4_X	9500	39	0.013361
(23,63)(8090,12913)(8000,13000)	AgamP4_X	10500	42	0.013099
(40,64)(9111,13312)(9000,14000)	AgamP4_X	11500	26	0.014957
(47,65)(10033,14329)(10000,15000)	AgamP4_X	12500	20	0.020229
(53,68)(11035,15981)(11000,16000)	AgamP4_X	13500	17	0.021891
(61,72)(12030,16758)(12000,17000)	AgamP4_X	14500	13	0.011921
(64,85)(13312,17878)(13000,18000)	AgamP4_X	15500	23	0.006335
(65,89)(14329,18520)(14000,19000)	AgamP4_X	16500	26	0.007680
(66,110)(15382,19927)(15000,20000)	AgamP4_X	17500	46	0.008795
(69,112)(16115,20655)(16000,21000)	AgamP4_X	18500	45	0.008609
(73,119)(17097,21860)(17000,22000)	AgamP4_X	19500	48	0.009813
(86,123)(18153,22098)(18000,23000)	AgamP4_X	20500	39	0.011498
(90,130)(19321,23917)(19000,24000)	AgamP4_X	21500	42	0.011538
(111,132)(20384,24185)(20000,25000)	AgamP4_X	22500	23	0.012444
(113,139)(21098,25681)(21000,26000)	AgamP4_X	23500	28	0.009348
(120,143)(22047,26865)(22000,27000)	AgamP4_X	24500	25	0.008462
(124,161)(23269,27970)(23000,28000)	AgamP4_X	25500	39	0.010476
(131,161)(24056,27970)(24000,29000)	AgamP4_X	26500	32	0.009784
(133,167)(25020,29798)(25000,30000)	AgamP4_X	27500	36	0.010135
(140,185)(26136,30982)(26000,31000)	AgamP4_X	28500	47	0.007136
(144,197)(27180,31762)(27000,32000)	AgamP4_X	29500	55	0.006140
(162,199)(29090,32864)(28000,33000)	AgamP4_X	30500	39	0.006811
(162,201)(29090,33231)(29000,34000)	AgamP4_X	31500	41	0.006528
(168,204)(30018,34697)(30000,35000)	AgamP4_X	32500	38	0.007676
(186,208)(31373,35281)(31000,36000)	AgamP4_X	33500	24	0.014335
(198,209)(32169,36414)(32000,37000)	AgamP4_X	34500	13	0.023435
(200,236)(33204,37554)(33000,38000)	AgamP4_X	35500	38	0.008092
(202,238)(34167,38860)(34000,39000)	AgamP4_X	36500	38	0.008096
(205,239)(35055,39924)(35000,40000)	AgamP4_X	37500	36	0.006092
(209,244)(36414,40712)(36000,41000)	AgamP4_X	38500	37	0.008640
(210,245)(37016,41529)(37000,42000)	AgamP4_X	39500	37	0.009194
(237,252)(38488,42865)(38000,43000)	AgamP4_X	40500	17	0.019200
(239,263)(39924,43831)(39000,44000)	AgamP4_X	41500	26	0.024776
(240,266)(40295,44812)(40000,45000)	AgamP4_X	42500	28	0.024215
(245,268)(41529,45598)(41000,46000)	AgamP4_X	43500	25	0.021561
(246,277)(42299,46875)(42000,47000)	AgamP4_X	44500	33	0.017045
(253,297)(43090,47973)(43000,48000)	AgamP4_X	45500	46	0.014336
(264,298)(44210,48568)(44000,49000)	AgamP4_X	46500	36	0.008870
(267,302)(45067,49199)(45000,50000)	AgamP4_X	47500	37	0.008594
(269,304)(46219,50939)(46000,51000)	AgamP4_X	48500	37	0.008901
