region	chr	midPos	Nsites
(4,79)(1206,5977)(1000,6000)	AgamP4_2L	3500	77	0.009443
(21,91)(2001,6890)(2000,7000)	AgamP4_2L	4500	72	0.011087
(42,98)(3089,7996)(3000,8000)	AgamP4_2L	5500	58	0.012482
(54,112)(4092,8999)(4000,9000)	AgamP4_2L	6500	60	0.012112
(74,130)(5519,9880)(5000,10000)	AgamP4_2L	7500	58	0.012247
(80,142)(6169,10674)(6000,11000)	AgamP4_2L	8500	64	0.010970
(92,142)(7741,10674)(7000,12000)	AgamP4_2L	9500	52	0.007220
(99,142)(8125,10674)(8000,13000)	AgamP4_2L	10500	45	0.006561
(113,159)(9011,13970)(9000,14000)	AgamP4_2L	11500	48	0.009526
(131,161)(10011,14976)(10000,15000)	AgamP4_2L	12500	32	0.010792
(143,175)(13217,15973)(11000,16000)	AgamP4_2L	13500	34	0.011683
(143,185)(13217,16992)(12000,17000)	AgamP4_2L	14500	44	0.009240
(143,195)(13217,17897)(13000,18000)	AgamP4_2L	15500	54	0.007840
(160,210)(14847,18905)(14000,19000)	AgamP4_2L	16500	52	0.003656
(162,212)(15101,19383)(15000,20000)	AgamP4_2L	17500	52	0.003685
(176,212)(16042,19383)(16000,21000)	AgamP4_2L	18500	38	0.001585
(186,212)(17207,19383)(17000,22000)	AgamP4_2L	19500	28	0.002778
(196,212)(18148,19383)(18000,23000)	AgamP4_2L	20500	18	0.003609
(211,212)(19218,19383)(19000,24000)	AgamP4_2L	21500	3	0.002883
(213,223)(24386,24876)(20000,25000)	AgamP4_2L	22500	12	0.006153
(213,233)(24386,25930)(21000,26000)	AgamP4_2L	23500	22	0.009175
(213,243)(24386,26893)(22000,27000)	AgamP4_2L	24500	32	0.007463
(213,247)(24386,27446)(23000,28000)	AgamP4_2L	25500	36	0.006382
(213,247)(24386,27446)(24000,29000)	AgamP4_2L	26500	36	0.006382
(224,247)(25105,27446)(25000,30000)	AgamP4_2L	27500	25	0.006478
(234,247)(26137,27446)(26000,31000)	AgamP4_2L	28500	15	0.002710
(244,252)(27093,31591)(27000,32000)	AgamP4_2L	29500	10	0.003474
(248,252)(31133,31591)(28000,33000)	AgamP4_2L	30500	6	0.008634
(248,252)(31133,31591)(29000,34000)	AgamP4_2L	31500	6	0.008634
(248,252)(31133,31591)(30000,35000)	AgamP4_2L	32500	6	0.008634
(248,261)(31133,35853)(31000,36000)	AgamP4_2L	33500	15	0.010222
(253,266)(35382,36641)(32000,37000)	AgamP4_2L	34500	15	0.011475
(253,266)(35382,36641)(33000,38000)	AgamP4_2L	35500	15	0.011475
(253,266)(35382,36641)(34000,39000)	AgamP4_2L	36500	15	0.011475
(253,266)(35382,36641)(35000,40000)	AgamP4_2L	37500	15	0.011475
(262,266)(36166,36641)(36000,41000)	AgamP4_2L	38500	6	0.012276
(267,272)(42383,42614)(38000,43000)	AgamP4_2L	40500	7	-0.002557
(267,295)(42383,43977)(39000,44000)	AgamP4_2L	41500	30	0.006198
(267,301)(42383,44913)(40000,45000)	AgamP4_2L	42500	36	0.007163
(267,328)(42383,45977)(41000,46000)	AgamP4_2L	43500	63	0.007494
(267,329)(42383,46038)(42000,47000)	AgamP4_2L	44500	64	0.007494
(273,329)(43029,46038)(43000,48000)	AgamP4_2L	45500	58	0.008001
(296,337)(44006,48845)(44000,49000)	AgamP4_2L	46500	43	0.009285
(302,353)(45034,49975)(45000,50000)	AgamP4_2L	47500	53	0.006843
(329,368)(46038,50989)(46000,51000)	AgamP4_2L	48500	41	0.003991
(330,376)(48391,51941)(47000,52000)	AgamP4_2L	49500	48	0.004526
(330,391)(48391,52998)(48000,53000)	AgamP4_2L	50500	63	0.009254
(338,408)(49102,53971)(49000,54000)	AgamP4_2L	51500	72	0.009833
(354,430)(50001,54988)(50000,55000)	AgamP4_2L	52500	78	0.012634
(369,441)(51068,55899)(51000,56000)	AgamP4_2L	53500	74	0.013858
(377,453)(52162,56912)(52000,57000)	AgamP4_2L	54500	78	0.013583
(392,476)(53071,57951)(53000,58000)	AgamP4_2L	55500	86	0.009250
(409,490)(54061,58956)(54000,59000)	AgamP4_2L	56500	83	0.007865
(431,499)(55043,59826)(55000,60000)	AgamP4_2L	57500	70	0.005857
(442,513)(56224,60841)(56000,61000)	AgamP4_2L	58500	73	0.006990
(454,524)(57173,61724)(57000,62000)	AgamP4_2L	59500	72	0.008399
(477,537)(58031,62999)(58000,63000)	AgamP4_2L	60500	62	0.009871
(491,541)(59037,63892)(59000,64000)	AgamP4_2L	61500	52	0.010556
(500,549)(60112,64871)(60000,65000)	AgamP4_2L	62500	51	0.010833
(514,559)(61018,65840)(61000,66000)	AgamP4_2L	63500	47	0.010881
(525,566)(62031,66964)(62000,67000)	AgamP4_2L	64500	43	0.012028
(538,583)(63714,67971)(63000,68000)	AgamP4_2L	65500	47	0.012097
(542,595)(64044,68844)(64000,69000)	AgamP4_2L	66500	55	0.011610
(550,617)(65182,69968)(65000,70000)	AgamP4_2L	67500	69	0.011388
(560,640)(66173,70890)(66000,71000)	AgamP4_2L	68500	82	0.010457
(567,659)(67000,71944)(67000,72000)	AgamP4_2L	69500	94	0.008213
(584,674)(68007,72967)(68000,73000)	AgamP4_2L	70500	92	0.008108
(596,684)(69036,73938)(69000,74000)	AgamP4_2L	71500	90	0.008390
(618,700)(70149,74992)(70000,75000)	AgamP4_2L	72500	84	0.008341
(641,713)(71035,75999)(71000,76000)	AgamP4_2L	73500	74	0.009270
(660,725)(72057,76904)(72000,77000)	AgamP4_2L	74500	67	0.011619
(675,747)(73013,77985)(73000,78000)	AgamP4_2L	75500	74	0.010324
(685,771)(74247,78969)(74000,79000)	AgamP4_2L	76500	88	0.008877
(701,775)(75044,79235)(75000,80000)	AgamP4_2L	77500	76	0.009242
(714,775)(76028,79235)(76000,81000)	AgamP4_2L	78500	63	0.008767
(726,804)(77254,81995)(77000,82000)	AgamP4_2L	79500	80	0.004454
(748,834)(78043,82997)(78000,83000)	AgamP4_2L	80500	88	0.002626
(772,870)(79131,83975)(79000,84000)	AgamP4_2L	81500	100	0.000849
(776,889)(81076,84933)(80000,85000)	AgamP4_2L	82500	115	-0.000010
(776,916)(81076,85980)(81000,86000)	AgamP4_2L	83500	142	-0.000234
(805,946)(82002,86996)(82000,87000)	AgamP4_2L	84500	143	-0.000315
(835,977)(83012,87929)(83000,88000)	AgamP4_2L	85500	144	-0.000146
(871,998)(84034,88911)(84000,89000)	AgamP4_2L	86500	129	0.000302
(890,1010)(85018,89645)(85000,90000)	AgamP4_2L	87500	122	0.000778
(917,1010)(86078,89645)(86000,91000)	AgamP4_2L	88500	95	0.001346
(947,1010)(87002,89645)(87000,92000)	AgamP4_2L	89500	65	0.001695
(978,1010)(88076,89645)(88000,93000)	AgamP4_2L	90500	34	0.003065
(999,1010)(89006,89645)(89000,94000)	AgamP4_2L	91500	13	0.004854
(1011,1014)(95514,95732)(91000,96000)	AgamP4_2L	93500	5	0.006384
(1011,1026)(95514,96943)(92000,97000)	AgamP4_2L	94500	17	0.011071
(1011,1049)(95514,97995)(93000,98000)	AgamP4_2L	95500	40	0.008081
(1011,1074)(95514,98976)(94000,99000)	AgamP4_2L	96500	65	0.004268
(1011,1088)(95514,99822)(95000,100000)	AgamP4_2L	97500	79	0.004238
(1015,1097)(96035,100881)(96000,101000)	AgamP4_2L	98500	84	0.004633
(1027,1106)(97212,101918)(97000,102000)	AgamP4_2L	99500	81	0.003946
(1050,1106)(98016,101918)(98000,103000)	AgamP4_2L	100500	58	0.003122
(1075,1126)(99036,103891)(99000,104000)	AgamP4_2L	101500	53	0.004643
(1089,1128)(100056,104097)(100000,105000)	AgamP4_2L	102500	41	0.004425
(1098,1128)(101012,104097)(101000,106000)	AgamP4_2L	103500	32	0.003229
(1107,1146)(103061,106994)(102000,107000)	AgamP4_2L	104500	41	0.003927
