region	chr	midPos	Nsites
(2,15)(3508,5973)(1000,6000)	AgamP4_X	3500	15	0.007887
(2,17)(3508,6776)(2000,7000)	AgamP4_X	4500	17	0.007696
(2,18)(3508,7935)(3000,8000)	AgamP4_X	5500	18	0.007927
(4,35)(4144,8921)(4000,9000)	AgamP4_X	6500	33	0.015347
(14,41)(5764,9755)(5000,10000)	AgamP4_X	7500	29	0.013346
(16,49)(6116,10806)(6000,11000)	AgamP4_X	8500	35	0.014725
(18,56)(7935,11973)(7000,12000)	AgamP4_X	9500	40	0.017549
(19,58)(8090,12913)(8000,13000)	AgamP4_X	10500	41	0.017175
(36,62)(9100,13510)(9000,14000)	AgamP4_X	11500	28	0.014882
(42,64)(10092,14792)(10000,15000)	AgamP4_X	12500	24	0.018726
(50,66)(11035,15637)(11000,16000)	AgamP4_X	13500	18	0.019758
(57,70)(12456,16758)(12000,17000)	AgamP4_X	14500	15	0.022453
(59,80)(13150,17344)(13000,18000)	AgamP4_X	15500	23	0.021533
(63,83)(14324,18520)(14000,19000)	AgamP4_X	16500	22	0.031117
(65,104)(15382,19927)(15000,20000)	AgamP4_X	17500	41	0.031518
(67,105)(16115,20655)(16000,21000)	AgamP4_X	18500	40	0.031370
(71,110)(17104,21860)(17000,22000)	AgamP4_X	19500	41	0.031165
(81,114)(18153,22098)(18000,23000)	AgamP4_X	20500	35	0.033831
(84,116)(19314,23781)(19000,24000)	AgamP4_X	21500	34	0.031056
(105,119)(20655,24711)(20000,25000)	AgamP4_X	22500	16	0.028644
(106,125)(21098,25311)(21000,26000)	AgamP4_X	23500	21	0.024578
(111,128)(22047,26865)(22000,27000)	AgamP4_X	24500	19	0.022026
(115,145)(23336,27884)(23000,28000)	AgamP4_X	25500	32	0.013603
(117,145)(24185,27884)(24000,29000)	AgamP4_X	26500	30	0.010863
(120,148)(25068,29790)(25000,30000)	AgamP4_X	27500	30	0.010112
(126,162)(26136,30970)(26000,31000)	AgamP4_X	28500	38	0.010118
(129,174)(27180,31762)(27000,32000)	AgamP4_X	29500	47	0.009149
(146,176)(29090,32864)(28000,33000)	AgamP4_X	30500	32	0.011012
(146,177)(29090,33204)(29000,34000)	AgamP4_X	31500	33	0.011157
(149,181)(30018,34993)(30000,35000)	AgamP4_X	32500	34	0.013797
(163,187)(31373,35983)(31000,36000)	AgamP4_X	33500	26	0.014674
(175,187)(32188,35983)(32000,37000)	AgamP4_X	34500	14	0.014929
(177,204)(33204,37554)(33000,38000)	AgamP4_X	35500	29	0.007625
(178,204)(34167,37554)(34000,39000)	AgamP4_X	36500	28	0.007355
(182,205)(35225,39924)(35000,40000)	AgamP4_X	37500	25	0.003623
(188,207)(37018,40497)(36000,41000)	AgamP4_X	38500	21	0.008033
(188,208)(37018,41529)(37000,42000)	AgamP4_X	39500	22	0.011507
(205,213)(39924,42865)(38000,43000)	AgamP4_X	40500	10	0.064486
(205,228)(39924,43831)(39000,44000)	AgamP4_X	41500	25	0.048960
(206,231)(40411,44951)(40000,45000)	AgamP4_X	42500	27	0.053640
(208,233)(41529,45074)(41000,46000)	AgamP4_X	43500	27	0.052627
(209,240)(42288,46875)(42000,47000)	AgamP4_X	44500	33	0.043342
(214,252)(43090,47917)(43000,48000)	AgamP4_X	45500	40	0.032921
(229,253)(44020,48858)(44000,49000)	AgamP4_X	46500	26	0.030590
(232,255)(45067,49199)(45000,50000)	AgamP4_X	47500	25	0.024383
(234,258)(46263,50939)(46000,51000)	AgamP4_X	48500	26	0.024503
(241,259)(47352,51251)(47000,52000)	AgamP4_X	49500	20	0.024340
(253,266)(48858,52948)(48000,53000)	AgamP4_X	50500	15	0.004657
(254,273)(49185,53747)(49000,54000)	AgamP4_X	51500	21	0.005274
(256,275)(50571,54495)(50000,55000)	AgamP4_X	52500	21	0.006631
(259,278)(51251,55824)(51000,56000)	AgamP4_X	53500	21	0.006537
(260,283)(52140,56964)(52000,57000)	AgamP4_X	54500	25	0.011633
(267,285)(53539,57677)(53000,58000)	AgamP4_X	55500	20	0.013568
(274,288)(54435,58801)(54000,59000)	AgamP4_X	56500	16	0.031518
(276,294)(55125,59697)(55000,60000)	AgamP4_X	57500	20	0.026607
(279,303)(56208,60873)(56000,61000)	AgamP4_X	58500	26	0.024777
(284,309)(57671,61990)(57000,62000)	AgamP4_X	59500	27	0.021037
(286,321)(58659,62965)(58000,63000)	AgamP4_X	60500	37	0.020730
(289,328)(59118,63994)(59000,64000)	AgamP4_X	61500	41	0.012532
(295,333)(60033,64911)(60000,65000)	AgamP4_X	62500	40	0.015555
(304,344)(61091,65964)(61000,66000)	AgamP4_X	63500	42	0.014718
(310,350)(62071,66632)(62000,67000)	AgamP4_X	64500	42	0.015112
(322,353)(63160,67521)(63000,68000)	AgamP4_X	65500	33	0.012967
(329,361)(64509,68830)(64000,69000)	AgamP4_X	66500	34	0.012900
(334,368)(65040,69978)(65000,70000)	AgamP4_X	67500	36	0.012123
(345,373)(66071,70739)(66000,71000)	AgamP4_X	68500	30	0.013079
(351,379)(67053,71378)(67000,72000)	AgamP4_X	69500	30	0.016844
(354,387)(68511,72841)(68000,73000)	AgamP4_X	70500	35	0.019849
(362,394)(69155,73864)(69000,74000)	AgamP4_X	71500	34	0.021143
(369,396)(70287,74348)(70000,75000)	AgamP4_X	72500	29	0.019389
(374,400)(71003,75856)(71000,76000)	AgamP4_X	73500	28	0.018085
(380,421)(72010,76691)(72000,77000)	AgamP4_X	74500	43	0.012498
(388,425)(73103,77378)(73000,78000)	AgamP4_X	75500	39	0.008500
(395,431)(74183,78629)(74000,79000)	AgamP4_X	76500	38	0.009188
(397,439)(75258,79999)(75000,80000)	AgamP4_X	77500	44	0.008708
(401,445)(76001,80865)(76000,81000)	AgamP4_X	78500	46	0.009772
(422,446)(77357,81844)(77000,82000)	AgamP4_X	79500	26	0.009082
(426,447)(78016,82071)(78000,83000)	AgamP4_X	80500	23	0.010105
(432,459)(79008,83834)(79000,84000)	AgamP4_X	81500	29	0.012115
(440,460)(80009,84763)(80000,85000)	AgamP4_X	82500	22	0.013005
(446,461)(81844,85695)(81000,86000)	AgamP4_X	83500	17	0.013776
(447,461)(82071,85695)(82000,87000)	AgamP4_X	84500	16	0.014473
(448,461)(83216,85695)(83000,88000)	AgamP4_X	85500	15	0.015628
(460,466)(84763,88706)(84000,89000)	AgamP4_X	86500	8	0.005626
(461,467)(85695,89141)(85000,90000)	AgamP4_X	87500	8	0.005112
(462,469)(88510,90589)(86000,91000)	AgamP4_X	88500	9	0.002784
(462,471)(88510,91687)(87000,92000)	AgamP4_X	89500	11	0.000279
(462,474)(88510,92974)(88000,93000)	AgamP4_X	90500	14	0.004132
(467,479)(89141,93767)(89000,94000)	AgamP4_X	91500	14	0.014716
(468,481)(90203,94886)(90000,95000)	AgamP4_X	92500	15	0.011054
(470,485)(91624,95687)(91000,96000)	AgamP4_X	93500	17	0.016220
(472,492)(92821,96986)(92000,97000)	AgamP4_X	94500	22	0.014678
(475,495)(93126,97600)(93000,98000)	AgamP4_X	95500	22	0.012498
(480,501)(94356,98977)(94000,99000)	AgamP4_X	96500	23	0.005906
(482,508)(95279,99878)(95000,100000)	AgamP4_X	97500	28	0.007160
(486,511)(96259,100918)(96000,101000)	AgamP4_X	98500	27	0.001372
(493,515)(97441,101855)(97000,102000)	AgamP4_X	99500	24	0.001474
(496,519)(98239,102896)(98000,103000)	AgamP4_X	100500	25	0.001967
(502,522)(99278,103898)(99000,104000)	AgamP4_X	101500	22	0.001971
(509,528)(100351,104648)(100000,105000)	AgamP4_X	102500	21	0.002572
(512,536)(101416,105843)(101000,106000)	AgamP4_X	103500	26	0.007324
(516,544)(102107,106983)(102000,107000)	AgamP4_X	104500	30	0.008184
(520,547)(103085,107472)(103000,108000)	AgamP4_X	105500	29	0.008512
(523,561)(104098,108591)(104000,109000)	AgamP4_X	106500	40	0.009809
(529,563)(105065,109805)(105000,110000)	AgamP4_X	107500	36	0.010873
(537,566)(106178,110917)(106000,111000)	AgamP4_X	108500	31	0.007863
(545,571)(107004,111939)(107000,112000)	AgamP4_X	109500	28	0.008838
(548,576)(108135,112942)(108000,113000)	AgamP4_X	110500	30	0.007912
(562,584)(109355,113470)(109000,114000)	AgamP4_X	111500	24	0.005987
(564,590)(110047,114934)(110000,115000)	AgamP4_X	112500	28	0.005378
(567,594)(111086,115996)(111000,116000)	AgamP4_X	113500	29	0.006010
(572,601)(112076,116953)(112000,117000)	AgamP4_X	114500	31	0.013393
(577,605)(113000,117772)(113000,118000)	AgamP4_X	115500	30	0.014558
(585,614)(114113,118794)(114000,119000)	AgamP4_X	116500	31	0.019617
(591,631)(115330,119883)(115000,120000)	AgamP4_X	117500	42	0.020052
(595,640)(116243,120997)(116000,121000)	AgamP4_X	118500	47	0.019557
(602,644)(117051,121911)(117000,122000)	AgamP4_X	119500	44	0.014132
(606,650)(118005,122974)(118000,123000)	AgamP4_X	120500	46	0.013058
(615,663)(119012,123928)(119000,124000)	AgamP4_X	121500	50	0.007035
(632,676)(120086,124965)(120000,125000)	AgamP4_X	122500	46	0.002646
(641,684)(121297,125943)(121000,126000)	AgamP4_X	123500	45	0.000214
(645,690)(122053,126995)(122000,127000)	AgamP4_X	124500	47	0.000297
(651,698)(123012,127748)(123000,128000)	AgamP4_X	125500	49	0.000034
(664,705)(124029,128670)(124000,129000)	AgamP4_X	126500	43	0.002519
(677,710)(125083,129657)(125000,130000)	AgamP4_X	127500	35	0.005995
(685,720)(126218,130914)(126000,131000)	AgamP4_X	128500	37	0.008597
(691,726)(127003,131902)(127000,132000)	AgamP4_X	129500	37	0.010993
(699,735)(128239,132965)(128000,133000)	AgamP4_X	130500	38	0.011336
(706,748)(129095,133942)(129000,134000)	AgamP4_X	131500	44	0.009932
(711,758)(130071,134910)(130000,135000)	AgamP4_X	132500	49	0.015073
(721,766)(131181,135979)(131000,136000)	AgamP4_X	133500	47	0.013471
(727,772)(132014,136929)(132000,137000)	AgamP4_X	134500	47	0.011863
(736,777)(133033,137278)(133000,138000)	AgamP4_X	135500	43	0.012376
(749,786)(134197,138997)(134000,139000)	AgamP4_X	136500	39	0.017698
(759,790)(135332,139663)(135000,140000)	AgamP4_X	137500	33	0.006788
(767,801)(136287,140902)(136000,141000)	AgamP4_X	138500	36	0.009305
(773,805)(137072,141678)(137000,142000)	AgamP4_X	139500	34	0.010241
(778,813)(138036,142568)(138000,143000)	AgamP4_X	140500	37	0.011748
(787,821)(139160,143818)(139000,144000)	AgamP4_X	141500	36	0.007475
(791,829)(140076,144914)(140000,145000)	AgamP4_X	142500	40	0.009639
(802,839)(141027,145912)(141000,146000)	AgamP4_X	143500	39	0.017192
(806,844)(142079,146727)(142000,147000)	AgamP4_X	144500	40	0.017053
(814,855)(143223,147927)(143000,148000)	AgamP4_X	145500	43	0.014075
(822,860)(144004,148841)(144000,149000)	AgamP4_X	146500	40	0.014158
(830,873)(145093,149926)(145000,150000)	AgamP4_X	147500	45	0.011213
(840,895)(146025,150995)(146000,151000)	AgamP4_X	148500	57	0.009529
(845,912)(147124,151812)(147000,152000)	AgamP4_X	149500	69	0.009324
(856,921)(148043,152956)(148000,153000)	AgamP4_X	150500	67	0.009810
