region	chr	midPos	Nsites
(11,62)(2012,6572)(2000,7000)	AgamP4_2L	4500	53	0.004474
(19,70)(3089,7996)(3000,8000)	AgamP4_2L	5500	53	0.005998
(23,95)(4030,8954)(4000,9000)	AgamP4_2L	6500	74	0.005416
(48,101)(5390,9761)(5000,10000)	AgamP4_2L	7500	55	0.007310
(55,102)(6058,10224)(6000,11000)	AgamP4_2L	8500	49	0.008233
(63,102)(7741,10224)(7000,12000)	AgamP4_2L	9500	41	0.007215
(71,102)(8071,10224)(8000,13000)	AgamP4_2L	10500	33	0.004818
(96,103)(9011,13949)(9000,14000)	AgamP4_2L	11500	9	0.008187
(102,104)(10224,14853)(10000,15000)	AgamP4_2L	12500	4	0.012397
(103,109)(13949,15973)(11000,16000)	AgamP4_2L	13500	8	0.001932
(103,113)(13949,16917)(12000,17000)	AgamP4_2L	14500	12	0.002700
(103,117)(13949,17458)(13000,18000)	AgamP4_2L	15500	16	0.002791
(104,126)(14853,18928)(14000,19000)	AgamP4_2L	16500	24	0.002591
(105,135)(15498,19626)(15000,20000)	AgamP4_2L	17500	32	0.003153
(110,135)(16042,19626)(16000,21000)	AgamP4_2L	18500	27	0.003473
(114,135)(17344,19626)(17000,22000)	AgamP4_2L	19500	23	0.003391
(118,135)(18357,19626)(18000,23000)	AgamP4_2L	20500	19	0.003484
(127,135)(19104,19626)(19000,24000)	AgamP4_2L	21500	10	0.004595
(136,139)(24601,24955)(20000,25000)	AgamP4_2L	22500	5	0.004401
(136,139)(24601,24955)(21000,26000)	AgamP4_2L	23500	5	0.004401
(136,145)(24601,26924)(22000,27000)	AgamP4_2L	24500	11	0.002673
(136,158)(24601,27467)(23000,28000)	AgamP4_2L	25500	24	0.000290
(136,158)(24601,27467)(24000,29000)	AgamP4_2L	26500	24	0.000290
(140,158)(26192,27467)(25000,30000)	AgamP4_2L	27500	20	-0.000576
(140,158)(26192,27467)(26000,31000)	AgamP4_2L	28500	20	-0.000576
(146,160)(27029,31362)(27000,32000)	AgamP4_2L	29500	16	0.001464
(159,160)(31038,31362)(28000,33000)	AgamP4_2L	30500	3	0.019227
(159,160)(31038,31362)(29000,34000)	AgamP4_2L	31500	3	0.019227
(159,160)(31038,31362)(30000,35000)	AgamP4_2L	32500	3	0.019227
(159,160)(31038,31362)(31000,36000)	AgamP4_2L	33500	3	0.019227
(161,161)(36232,36232)(32000,37000)	AgamP4_2L	34500	2	-0.003626
(161,161)(36232,36232)(33000,38000)	AgamP4_2L	35500	2	-0.003626
(161,161)(36232,36232)(34000,39000)	AgamP4_2L	36500	2	-0.003626
(161,161)(36232,36232)(35000,40000)	AgamP4_2L	37500	2	-0.003626
(161,161)(36232,36232)(36000,41000)	AgamP4_2L	38500	2	-0.003626
(162,171)(43029,43906)(39000,44000)	AgamP4_2L	41500	11	0.017633
(162,171)(43029,43906)(40000,45000)	AgamP4_2L	42500	11	0.017633
(162,192)(43029,45977)(41000,46000)	AgamP4_2L	43500	32	0.012292
(162,193)(43029,46038)(42000,47000)	AgamP4_2L	44500	33	0.011776
(162,193)(43029,46038)(43000,48000)	AgamP4_2L	45500	33	0.011776
(172,196)(45124,48752)(44000,49000)	AgamP4_2L	46500	26	0.007143
(172,209)(45124,49975)(45000,50000)	AgamP4_2L	47500	39	0.006380
(193,219)(46038,50817)(46000,51000)	AgamP4_2L	48500	28	0.003809
(194,220)(48622,51509)(47000,52000)	AgamP4_2L	49500	28	0.003687
(194,233)(48622,52967)(48000,53000)	AgamP4_2L	50500	41	0.008431
(197,240)(49341,53997)(49000,54000)	AgamP4_2L	51500	45	0.009867
(210,257)(50094,54943)(50000,55000)	AgamP4_2L	52500	49	0.012996
(220,265)(51509,55850)(51000,56000)	AgamP4_2L	53500	47	0.013132
(221,269)(52462,56768)(52000,57000)	AgamP4_2L	54500	50	0.013549
(234,283)(53017,57928)(53000,58000)	AgamP4_2L	55500	51	0.008214
